Date,Open,High,Low,Close,Volume,Amount
2024-01-24 09:29:00,56.1,56.1,56.1,56.1,1,56100.0
2024-01-24 09:58:00,56.1,56.1,56.1,56.1,1,56100.0
2024-01-24 10:33:00,56.1,56.1,56.1,56.1,1,56100.0
2024-01-24 11:21:00,56.3,56.3,56.3,56.3,1,56300.0
2024-01-24 11:22:00,56.3,56.3,56.3,56.3,4,225200.0
2024-01-24 12:46:00,55.9,55.9,55.9,55.9,1,55900.0
2024-01-24 13:25:00,55.9,55.9,55.8,55.8,2,111700.0
2024-01-25 10:16:00,56.3,56.3,56.3,56.3,2,112600.0
2024-01-25 10:25:00,56.4,56.4,56.4,56.4,2,112800.0
2024-01-25 10:32:00,56.3,56.3,56.2,56.2,2,112500.0
2024-01-25 10:33:00,56.2,56.2,56.2,56.2,1,56200.0
2024-01-25 13:18:00,56.0,56.2,56.0,56.2,12,673700.0
2024-01-19 09:01:00,56.2,56.2,56.2,56.2,4,224800.0
2024-01-19 09:06:00,56.2,56.2,56.2,56.2,1,56200.0
2024-01-19 09:07:00,56.2,56.2,56.2,56.2,1,56200.0
2024-01-19 09:15:00,56.2,56.2,56.2,56.2,1,56200.0
2024-01-19 10:20:00,56.8,56.8,56.8,56.8,2,113600.0
2024-01-19 11:38:00,56.4,56.4,56.4,56.4,1,56400.0
2024-01-19 11:54:00,56.8,56.8,56.8,56.8,1,56800.0
2024-01-19 12:00:00,56.6,56.6,56.6,56.6,1,56600.0
2024-01-19 12:09:00,56.6,56.6,56.6,56.6,3,169800.0
2024-01-19 12:55:00,56.4,56.4,56.4,56.4,4,225600.0
2024-01-19 13:12:00,56.3,56.3,56.3,56.3,1,56300.0
2024-01-19 13:16:00,56.2,56.2,56.2,56.2,2,112400.0
2024-01-19 13:19:00,56.2,56.2,56.2,56.2,1,56200.0
2024-01-19 13:30:00,56.2,56.2,56.2,56.2,2,112400.0
2024-01-22 09:01:00,57.8,57.8,57.8,57.8,1,57800.0
2024-01-22 09:27:00,57.4,57.4,57.0,57.0,3,171800.0
2024-01-22 09:33:00,57.4,57.4,56.9,56.9,4,228600.0
2024-01-22 09:46:00,56.9,56.9,56.9,56.9,1,56900.0
2024-01-22 10:09:00,56.9,56.9,56.9,56.9,1,56900.0
2024-01-22 10:22:00,56.8,56.8,56.8,56.8,1,56800.0
2024-01-22 10:28:00,56.8,56.8,56.8,56.8,1,56800.0
2024-01-22 11:56:00,56.5,56.5,56.5,56.5,1,56500.0
2024-01-22 12:04:00,56.2,56.2,56.2,56.2,4,224800.0
2024-01-22 12:28:00,56.1,56.1,56.1,56.1,1,56100.0
2024-01-22 13:14:00,56.4,56.4,56.4,56.4,1,56400.0
2024-01-22 13:30:00,56.4,56.4,56.4,56.4,1,56400.0
2024-01-23 11:33:00,55.8,55.8,55.8,55.8,1,55800.0
2024-01-23 11:44:00,55.8,55.8,55.8,55.8,2,111600.0
2024-01-23 13:22:00,56.2,56.2,56.2,56.2,1,56200.0
2024-01-23 13:30:00,56.1,56.1,56.1,56.1,1,56100.0
2024-01-09 09:17:00,57.3,57.3,57.3,57.3,1,57300.0
2024-01-09 12:06:00,57.7,57.7,57.7,57.7,1,57700.0
2024-01-09 12:33:00,57.7,57.7,57.7,57.7,1,57700.0
2024-01-09 12:36:00,57.7,57.7,57.7,57.7,1,57700.0
2024-01-09 12:37:00,57.7,57.7,57.7,57.7,1,57700.0
2024-01-09 12:45:00,57.7,57.7,57.7,57.7,1,57700.0
2024-01-09 12:56:00,57.7,57.7,57.7,57.7,1,57700.0
2024-01-09 13:30:00,57.5,57.5,57.5,57.5,1,57500.0
2024-01-05 09:31:00,57.0,57.0,57.0,57.0,1,57000.0
