ts,open,high,low,close,volume,Trading_Day,Session
2026-04-07 15:01:00,33231.0,33254.0,33225.0,33232.0,391,2026-04-08,2.0
2026-04-07 15:02:00,33237.0,33264.0,33222.0,33253.0,167,2026-04-08,2.0
2026-04-07 15:03:00,33258.0,33268.0,33243.0,33255.0,123,2026-04-08,2.0
2026-04-07 15:04:00,33255.0,33279.0,33254.0,33256.0,77,2026-04-08,2.0
2026-04-07 15:05:00,33262.0,33268.0,33235.0,33245.0,73,2026-04-08,2.0
2026-04-07 15:06:00,33241.0,33248.0,33205.0,33209.0,115,2026-04-08,2.0
2026-04-07 15:07:00,33205.0,33209.0,33183.0,33194.0,118,2026-04-08,2.0
2026-04-07 15:08:00,33196.0,33196.0,33177.0,33195.0,63,2026-04-08,2.0
2026-04-07 15:09:00,33191.0,33204.0,33180.0,33184.0,33,2026-04-08,2.0
2026-04-07 15:10:00,33188.0,33216.0,33188.0,33203.0,61,2026-04-08,2.0
2026-04-07 15:11:00,33200.0,33203.0,33189.0,33203.0,14,2026-04-08,2.0
2026-04-07 15:12:00,33205.0,33221.0,33171.0,33177.0,90,2026-04-08,2.0
2026-04-07 15:13:00,33185.0,33205.0,33183.0,33205.0,33,2026-04-08,2.0
2026-04-07 15:14:00,33199.0,33215.0,33193.0,33215.0,31,2026-04-08,2.0
2026-04-07 15:15:00,33215.0,33215.0,33203.0,33209.0,18,2026-04-08,2.0
2026-04-07 15:16:00,33206.0,33206.0,33194.0,33198.0,28,2026-04-08,2.0
2026-04-07 15:17:00,33199.0,33220.0,33196.0,33197.0,40,2026-04-08,2.0
2026-04-07 15:18:00,33199.0,33207.0,33195.0,33207.0,21,2026-04-08,2.0
2026-04-07 15:19:00,33205.0,33216.0,33199.0,33202.0,28,2026-04-08,2.0
2026-04-07 15:20:00,33198.0,33200.0,33177.0,33181.0,64,2026-04-08,2.0
2026-04-07 15:21:00,33186.0,33210.0,33182.0,33195.0,53,2026-04-08,2.0
2026-04-07 15:22:00,33192.0,33193.0,33173.0,33173.0,59,2026-04-08,2.0
2026-04-07 15:23:00,33174.0,33174.0,33150.0,33165.0,136,2026-04-08,2.0
2026-04-07 15:24:00,33167.0,33182.0,33155.0,33171.0,53,2026-04-08,2.0
2026-04-07 15:25:00,33172.0,33188.0,33166.0,33188.0,40,2026-04-08,2.0
2026-04-07 15:26:00,33186.0,33205.0,33186.0,33200.0,51,2026-04-08,2.0
2026-04-07 15:27:00,33195.0,33195.0,33180.0,33185.0,15,2026-04-08,2.0
2026-04-07 15:28:00,33185.0,33185.0,33161.0,33165.0,41,2026-04-08,2.0
2026-04-07 15:29:00,33170.0,33175.0,33163.0,33171.0,22,2026-04-08,2.0
2026-04-07 15:30:00,33171.0,33174.0,33155.0,33155.0,41,2026-04-08,2.0
2026-04-07 15:31:00,33160.0,33176.0,33160.0,33170.0,21,2026-04-08,2.0
2026-04-07 15:32:00,33176.0,33183.0,33171.0,33171.0,20,2026-04-08,2.0
2026-04-07 15:33:00,33169.0,33205.0,33168.0,33198.0,79,2026-04-08,2.0
2026-04-07 15:34:00,33199.0,33206.0,33184.0,33185.0,48,2026-04-08,2.0
2026-04-07 15:35:00,33183.0,33183.0,33164.0,33164.0,30,2026-04-08,2.0
2026-04-07 15:36:00,33173.0,33179.0,33173.0,33175.0,10,2026-04-08,2.0
2026-04-07 15:37:00,33175.0,33178.0,33173.0,33178.0,7,2026-04-08,2.0
2026-04-07 15:38:00,33174.0,33178.0,33166.0,33178.0,32,2026-04-08,2.0
2026-04-07 15:39:00,33178.0,33178.0,33171.0,33175.0,9,2026-04-08,2.0
2026-04-07 15:40:00,33179.0,33188.0,33179.0,33188.0,15,2026-04-08,2.0
2026-04-07 15:41:00,33190.0,33190.0,33185.0,33188.0,13,2026-04-08,2.0
2026-04-07 15:42:00,33185.0,33185.0,33175.0,33185.0,10,2026-04-08,2.0
2026-04-07 15:43:00,33183.0,33189.0,33173.0,33173.0,54,2026-04-08,2.0
2026-04-07 15:44:00,33178.0,33205.0,33178.0,33204.0,85,2026-04-08,2.0
2026-04-07 15:45:00,33205.0,33221.0,33203.0,33214.0,105,2026-04-08,2.0
2026-04-07 15:46:00,33213.0,33221.0,33210.0,33210.0,24,2026-04-08,2.0
2026-04-07 15:47:00,33208.0,33219.0,33206.0,33219.0,37,2026-04-08,2.0
2026-04-07 15:48:00,33215.0,33220.0,33201.0,33201.0,17,2026-04-08,2.0
2026-04-07 15:49:00,33200.0,33208.0,33200.0,33206.0,12,2026-04-08,2.0
2026-04-07 15:50:00,33202.0,33202.0,33193.0,33196.0,16,2026-04-08,2.0
2026-04-07 15:51:00,33197.0,33200.0,33186.0,33189.0,26,2026-04-08,2.0
2026-04-07 15:52:00,33194.0,33197.0,33179.0,33179.0,31,2026-04-08,2.0
2026-04-07 15:53:00,33182.0,33182.0,33161.0,33175.0,62,2026-04-08,2.0
2026-04-07 15:54:00,33172.0,33178.0,33165.0,33178.0,20,2026-04-08,2.0
