Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Amount
2025-03-27 00:00:00,119.03648334910964,123.07923462843236,119.03648334910964,121.28245544433594,451114,0.0,0.0,
2025-03-28 00:00:00,120.38406879646614,120.8332617045154,117.23970336096768,117.68890380859376,385036,0.0,0.0,
2025-03-31 00:00:00,113.64615457323632,116.34131960892464,113.64615457323632,114.54454040527344,433918,0.0,0.0,
2025-04-01 00:00:00,115.4429350696738,116.79051383282034,112.74777000380372,115.89212799072266,469610,0.0,0.0,
2025-04-02 00:00:00,116.34131754486914,118.58728962469227,114.99373128114452,117.68890380859376,249607,0.0,0.0,
2025-04-07 00:00:00,106.00984954833984,106.00984954833984,106.00984954833984,106.00984954833984,240676,0.0,0.0,
2025-04-08 00:00:00,97.02596032892882,113.19695748687197,97.02596032892882,112.74776458740234,1478535,0.0,0.0,
2025-04-09 00:00:00,113.19696256232416,118.58729267680113,108.7050182870677,110.05259704589844,1632755,0.0,0.0,
2025-04-10 00:00:00,119.03648204645825,120.83326121089198,115.89212416338182,119.93486785888672,1049799,0.0,0.0,
2025-04-11 00:00:00,114.54453997375236,117.68890545319051,114.09534705942605,116.79051208496094,788841,0.0,0.0,
2025-04-14 00:00:00,119.48567711049584,119.48567711049584,114.9937328880787,116.79051208496094,514331,0.0,0.0,
2025-04-15 00:00:00,119.03648204645825,119.93486785888672,116.79050997581028,119.93486785888672,303516,0.0,0.0,
2025-04-16 00:00:00,118.13809537450564,119.48567408334392,115.89212332019844,116.34131622314452,341000,0.0,0.0,
2025-04-17 00:00:00,115.44293624429991,117.23970794677734,115.44293624429991,117.23970794677734,175367,0.0,0.0,
2025-04-18 00:00:00,117.23970130207957,120.83325958251952,115.89212260159708,120.83325958251952,383600,0.0,0.0,
2025-04-21 00:00:00,120.8332617045154,120.8332617045154,117.68890380859376,117.68890380859376,272621,0.0,0.0,
2025-04-22 00:00:00,115.89212242326636,117.68890156072156,112.29856414835604,112.74776458740234,465745,0.0,0.0,
2025-04-23 00:00:00,114.544538770117,116.79051085772484,114.544538770117,115.44293212890624,317770,0.0,0.0,
2025-04-24 00:00:00,116.34131622314452,119.0364811803978,115.44293041725234,116.34131622314452,176155,0.0,0.0,
2025-04-25 00:00:00,117.68890380859376,118.58728962469227,116.7905104529184,117.68890380859376,168349,0.0,0.0,
2025-04-28 00:00:00,118.58729258969043,119.03648550897071,117.2397062922726,118.13809967041016,188280,0.0,0.0,
2025-04-29 00:00:00,118.13809967041016,119.485678428251,117.68890675112988,118.13809967041016,119314,0.0,0.0,
2025-04-30 00:00:00,118.13809836751685,118.13809836751685,116.3413191706346,116.79051208496094,221656,0.0,0.0,
2025-05-02 00:00:00,116.79051125388334,121.73164835546582,116.79051125388334,121.28245544433594,574841,0.0,0.0,
