Date,Open,High,Low,Close,Volume,Amount
2024-01-24 09:01:00,15.5,15.5,15.45,15.45,19,293700.0
2024-01-24 09:03:00,15.5,15.5,15.5,15.5,2,31000.0
2024-01-24 09:05:00,15.5,15.5,15.5,15.5,4,62000.0
2024-01-24 09:06:00,15.5,15.5,15.5,15.5,2,31000.0
2024-01-24 09:09:00,15.5,15.5,15.5,15.5,10,155000.0
2024-01-24 09:12:00,15.55,15.55,15.55,15.55,13,202150.0
2024-01-24 09:21:00,15.55,15.55,15.55,15.55,7,108850.0
2024-01-24 09:29:00,15.55,15.55,15.55,15.55,2,31100.0
2024-01-24 09:34:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-24 09:36:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 09:50:00,15.5,15.5,15.5,15.5,3,46500.0
2024-01-24 10:02:00,15.55,15.55,15.55,15.55,6,93300.0
2024-01-24 10:04:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 10:07:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 10:11:00,15.55,15.55,15.55,15.55,7,108850.0
2024-01-24 10:16:00,15.55,15.55,15.55,15.55,3,46650.0
2024-01-24 10:20:00,15.6,15.6,15.6,15.6,4,62400.0
2024-01-24 10:26:00,15.6,15.6,15.6,15.6,2,31200.0
2024-01-24 10:31:00,15.55,15.55,15.55,15.55,16,248800.0
2024-01-24 10:36:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 10:44:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 10:45:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 11:11:00,15.55,15.55,15.55,15.55,6,93300.0
2024-01-24 11:30:00,15.55,15.55,15.55,15.55,8,124400.0
2024-01-24 11:31:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 11:34:00,15.55,15.55,15.55,15.55,2,31100.0
2024-01-24 11:37:00,15.55,15.55,15.55,15.55,5,77750.0
2024-01-24 11:38:00,15.55,15.55,15.55,15.55,2,31100.0
2024-01-24 11:44:00,15.5,15.5,15.5,15.5,3,46500.0
2024-01-24 11:48:00,15.5,15.5,15.5,15.5,20,310000.0
2024-01-24 11:50:00,15.55,15.55,15.55,15.55,4,62200.0
2024-01-24 12:03:00,15.55,15.55,15.55,15.55,2,31100.0
2024-01-24 12:14:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 12:18:00,15.5,15.6,15.5,15.6,2,31100.0
2024-01-24 12:42:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-24 12:50:00,15.5,15.5,15.5,15.5,9,139500.0
2024-01-24 13:09:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-24 13:10:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-24 13:14:00,15.5,15.5,15.5,15.5,2,31000.0
2024-01-24 13:15:00,15.5,15.5,15.5,15.5,3,46500.0
2024-01-24 13:17:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-24 13:19:00,15.45,15.45,15.45,15.45,11,169950.0
2024-01-24 13:20:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-24 13:23:00,15.5,15.5,15.5,15.5,2,31000.0
2024-01-24 13:24:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-24 13:25:00,15.5,15.5,15.5,15.5,3,46500.0
2024-01-24 13:30:00,15.45,15.45,15.45,15.45,37,571650.0
2024-01-25 09:07:00,15.5,15.5,15.5,15.5,6,93000.0
2024-01-25 09:08:00,15.5,15.5,15.5,15.5,7,108500.0
2024-01-25 09:10:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-25 09:12:00,15.55,15.55,15.55,15.55,1,15550.0
2024-01-25 09:13:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-25 09:21:00,15.5,15.5,15.5,15.5,3,46500.0
2024-01-25 09:22:00,15.5,15.5,15.5,15.5,1,15500.0
2024-01-25 09:37:00,15.45,15.45,15.45,15.45,1,15450.0
2024-01-25 09:47:00,15.45,15.45,15.45,15.45,1,15450.0
2024-01-25 09:58:00,15.5,15.5,15.5,15.5,2,31000.0
2024-01-25 10:00:00,15.5,15.55,15.45,15.45,72,1116200.0
