timestamp,Open,High,Low,Close,Volume,Amount,Date
,373.0,373.0,370.5,371.0,123,45767000.0,2026-04-09 09:01:00
,371.0,371.5,370.0,371.5,44,16318000.0,2026-04-09 09:02:00
,371.5,373.5,371.5,373.5,47,17488000.0,2026-04-09 09:03:00
,373.5,375.0,373.5,374.5,34,12721000.0,2026-04-09 09:04:00
,374.5,374.5,373.5,374.0,34,12718000.0,2026-04-09 09:05:00
,374.0,374.5,372.5,372.5,43,16079000.0,2026-04-09 09:06:00
,372.5,373.5,372.5,373.0,24,8951000.0,2026-04-09 09:07:00
,374.0,376.0,374.0,376.0,81,30383000.0,2026-04-09 09:08:00
,376.0,376.0,375.5,376.0,24,9018500.0,2026-04-09 09:09:00
,376.0,376.0,375.5,375.5,20,7519500.0,2026-04-09 09:10:00
,375.5,376.0,375.0,375.0,25,9386000.0,2026-04-09 09:11:00
,374.5,374.5,374.0,374.0,10,3744500.0,2026-04-09 09:12:00
,374.0,374.5,374.0,374.5,6,2244500.0,2026-04-09 09:13:00
,374.5,374.5,374.0,374.0,6,2246500.0,2026-04-09 09:14:00
,374.0,374.5,374.0,374.5,20,7482000.0,2026-04-09 09:15:00
,374.5,375.0,374.0,374.5,14,5243500.0,2026-04-09 09:16:00
,375.0,375.5,375.0,375.0,22,8251000.0,2026-04-09 09:17:00
,375.0,375.0,375.0,375.0,17,6375000.0,2026-04-09 09:18:00
,375.0,375.0,374.5,375.0,23,8624500.0,2026-04-09 09:20:00
,375.0,375.0,375.0,375.0,6,2250000.0,2026-04-09 09:21:00
,375.5,375.5,375.0,375.0,23,8627000.0,2026-04-09 09:22:00
,375.0,375.0,375.0,375.0,1,375000.0,2026-04-09 09:23:00
,374.5,374.5,372.5,373.5,53,19786500.0,2026-04-09 09:24:00
,373.5,374.5,373.5,374.5,9,3363500.0,2026-04-09 09:25:00
,374.5,374.5,374.0,374.0,9,3367000.0,2026-04-09 09:26:00
,374.0,374.0,374.0,374.0,2,748000.0,2026-04-09 09:27:00
,373.5,373.5,372.5,373.0,24,8953000.0,2026-04-09 09:28:00
,373.0,373.5,373.0,373.5,6,2240000.0,2026-04-09 09:29:00
,373.5,373.5,373.0,373.0,2,746500.0,2026-04-09 09:30:00
,373.0,373.5,373.0,373.5,5,1865500.0,2026-04-09 09:31:00
,373.5,373.5,373.5,373.5,10,3735000.0,2026-04-09 09:32:00
,373.5,374.5,373.5,374.5,28,10471500.0,2026-04-09 09:33:00
,374.5,375.0,374.0,375.0,17,6370000.0,2026-04-09 09:34:00
,375.0,375.5,375.0,375.5,43,16138500.0,2026-04-09 09:35:00
,376.0,377.0,376.0,377.0,39,14674500.0,2026-04-09 09:36:00
,377.0,377.5,376.5,377.5,36,13572000.0,2026-04-09 09:37:00
,377.5,378.0,377.0,377.5,33,12447000.0,2026-04-09 09:38:00
,378.0,378.0,377.5,377.5,8,3021000.0,2026-04-09 09:39:00
,377.5,377.5,377.0,377.0,33,12451500.0,2026-04-09 09:40:00
,377.0,377.0,377.0,377.0,2,754000.0,2026-04-09 09:41:00
,376.5,376.5,374.0,374.0,41,15392500.0,2026-04-09 09:42:00
,374.0,375.0,374.0,375.0,21,7863500.0,2026-04-09 09:43:00
,375.0,375.5,375.0,375.5,7,2626500.0,2026-04-09 09:44:00
,375.0,375.0,375.0,375.0,2,750000.0,2026-04-09 09:45:00
,375.0,376.0,375.0,376.0,22,8264000.0,2026-04-09 09:46:00
,376.0,377.0,376.0,377.0,39,14683500.0,2026-04-09 09:47:00
,377.0,377.0,377.0,377.0,10,3770000.0,2026-04-09 09:48:00
,377.0,377.0,376.5,376.5,6,2260500.0,2026-04-09 09:49:00
,377.0,377.5,376.5,377.5,35,13202500.0,2026-04-09 09:50:00
