Date,Open,High,Low,Close,Volume,Amount
2026-04-08 09:01:00,133.5,133.5,133.5,133.5,2,267000.0
2026-04-08 09:02:00,134.0,134.0,134.0,134.0,2,268000.0
2026-04-08 09:03:00,134.5,134.5,134.5,134.5,2,269000.0
2026-04-08 09:04:00,135.0,135.0,135.0,135.0,5,675000.0
2026-04-08 09:05:00,135.0,135.0,135.0,135.0,2,270000.0
2026-04-08 09:06:00,135.0,135.0,135.0,135.0,0,0.0
2026-04-08 09:07:00,135.0,135.0,135.0,135.0,0,0.0
2026-04-08 09:08:00,135.0,135.0,135.0,135.0,1,135000.0
2026-04-08 09:09:00,134.5,135.0,134.5,135.0,3,404500.0
2026-04-08 09:10:00,135.0,135.0,135.0,135.0,0,0.0
2026-04-08 09:11:00,135.0,135.0,135.0,135.0,3,405000.0
2026-04-08 09:12:00,134.5,134.5,134.5,134.5,6,807000.0
2026-04-08 09:13:00,134.5,134.5,134.5,134.5,0,0.0
2026-04-08 09:14:00,134.0,134.0,134.0,134.0,3,402000.0
2026-04-08 09:15:00,134.0,134.0,134.0,134.0,1,134000.0
2026-04-08 09:16:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:17:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:18:00,134.0,134.0,134.0,134.0,1,134000.0
2026-04-08 09:19:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:20:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:21:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:22:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:23:00,133.5,133.5,133.5,133.5,7,934500.0
2026-04-08 09:24:00,134.0,134.5,134.0,134.5,3,403000.0
2026-04-08 09:25:00,134.5,134.5,134.5,134.5,0,0.0
2026-04-08 09:26:00,134.5,134.5,134.5,134.5,1,134500.0
2026-04-08 09:27:00,134.5,134.5,134.5,134.5,0,0.0
2026-04-08 09:28:00,134.0,134.0,134.0,134.0,1,134000.0
2026-04-08 09:29:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:30:00,134.0,134.0,134.0,134.0,1,134000.0
2026-04-08 09:31:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:32:00,134.0,134.0,134.0,134.0,1,134000.0
2026-04-08 09:33:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:34:00,134.0,134.0,134.0,134.0,0,0.0
2026-04-08 09:35:00,134.5,134.5,134.5,134.5,5,672500.0
2026-04-08 09:36:00,134.5,134.5,134.5,134.5,0,0.0
2026-04-08 09:37:00,134.5,135.0,134.5,135.0,3,404500.0
2026-04-08 09:38:00,135.0,136.5,135.0,136.5,29,3938000.0
2026-04-08 09:39:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 09:40:00,136.5,136.5,136.5,136.5,2,273000.0
2026-04-08 09:41:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 09:42:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 09:43:00,136.5,136.5,136.5,136.5,2,273000.0
2026-04-08 09:44:00,136.5,136.5,136.5,136.5,1,136500.0
2026-04-08 09:45:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 09:46:00,136.0,136.0,136.0,136.0,1,136000.0
2026-04-08 09:47:00,136.0,136.0,136.0,136.0,1,136000.0
2026-04-08 09:48:00,136.0,136.0,136.0,136.0,0,0.0
2026-04-08 09:49:00,135.5,135.5,135.5,135.5,3,406500.0
2026-04-08 09:50:00,136.0,136.5,136.0,136.5,8,1091000.0
2026-04-08 09:51:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 09:52:00,136.5,136.5,136.5,136.5,5,682500.0
2026-04-08 09:53:00,136.5,136.5,136.5,136.5,1,136500.0
2026-04-08 09:54:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 09:55:00,136.5,136.5,136.5,136.5,1,136500.0
2026-04-08 09:56:00,136.5,136.5,136.5,136.5,1,136500.0
2026-04-08 09:57:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 09:58:00,136.0,136.0,136.0,136.0,2,272000.0
2026-04-08 09:59:00,136.0,136.0,136.0,136.0,3,408000.0
2026-04-08 10:00:00,136.0,136.0,136.0,136.0,0,0.0
2026-04-08 10:01:00,135.5,135.5,135.5,135.5,5,677500.0
2026-04-08 10:02:00,135.5,135.5,135.5,135.5,0,0.0
2026-04-08 10:03:00,136.5,136.5,136.5,136.5,1,136500.0
2026-04-08 10:04:00,136.5,136.5,136.5,136.5,0,0.0
2026-04-08 10:05:00,136.5,136.5,136.5,136.5,1,136500.0
