timestamp,ticker,strategy,mode,action,price,entry_price,qty,reason,pnl_gross,fees,pnl_cash
2026-04-08 11:50:37,3044,mean_reversion,PAPER,BUY,369.0,369.0,5,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 11:55:28,1590,mean_reversion,PAPER,BUY,1070.0,1070.0,1,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 12:24:41,1590,mean_reversion,PAPER,BUY,1080.0,1080.0,1,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 12:40:46,1525,mean_reversion,PAPER,BUY,62.8,62.8,31,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 12:41:51,1525,mean_reversion,PAPER,BUY,62.8,62.8,31,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 12:42:54,1216,mean_reversion,PAPER,BUY,72.2,72.2,27,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:04:22,3228,mean_reversion,PAPER,BUY,135.5,135.5,36,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:04:41,3228,mean_reversion,PAPER,BUY,135.5,135.5,36,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:10:43,1525,mean_reversion,PAPER,BUY,63.0,63.0,79,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:11:05,1525,mean_reversion,PAPER,BUY,63.0,63.0,79,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:11:47,1525,mean_reversion,PAPER,BUY,63.0,63.0,79,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:11:47,1590,mean_reversion,PAPER,BUY,1070.0,1070.0,4,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:12:10,1216,mean_reversion,PAPER,BUY,72.3,72.3,69,BB_LOWER_BOUNCE,0.0,0.0,0
2026-04-08 13:20:16,1525,mean_reversion,PAPER,SELL,63.0,63.0,158,TIME_EXIT_LOSER,0.0,70.0,-70.0
2026-04-08 13:20:45,1525,mean_reversion,PAPER,SELL,63.0,63.0,79,TIME_EXIT_LOSER,0.0,55.0,-55.0
2026-04-08 13:24:07,1216,mean_reversion,PAPER,SELL,72.3,72.3,69,TIME_EXIT_LOSER,0.0,55.0,-55.0
