strategy_name,candidate_count,eval_count,shadowed_count,evaluation_rate,shadow_rate,starvation_index,starvation_level
router,16,0,0,0.0,0.0,1.0,severe
kbar_feature,67,17,33,0.2537313432835821,0.4925373134328358,0.7462686567164178,severe
spring_upthrust,73,23,27,0.3150684931506849,0.3698630136986301,0.6849315068493151,moderate
counter_vwap,100,50,0,0.5,0.0,0.5,moderate
