strategy_name,candidate_count,eval_count,winner_count,shadowed_count,regime_mismatch_count,no_signal_count,missing_count,candidate_rate,evaluation_rate,shadow_rate,win_conversion,starvation_index,priority_impact
kbar_feature,67,17,1,33,0,16,0,,0.2537313432835821,0.4925373134328358,0.058823529411764705,0.7462686567164178,33.0
spring_upthrust,73,23,6,27,0,17,0,,0.3150684931506849,0.3698630136986301,0.2608695652173913,0.6849315068493151,4.5
