timestamp,symbol,regime,actual_winner,simulated_winner,actual_expected_pnl,simulated_expected_pnl,expected_pnl_delta,candidate_list,simulated_order
2026-04-23 01:31:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:32:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:33:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,router,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:34:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:35:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:36:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,router,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:37:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:38:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:39:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,router,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:40:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:41:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:42:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,router,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:43:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:44:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:45:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:46:00,TX,WEAK,spring_upthrust,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:47:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,router,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:48:00,TX,WEAK,,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,router,spring_upthrust,spring_upthrust,kbar_feature,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
2026-04-23 01:49:00,TX,WEAK,counter_vwap,counter_vwap,0.0,0.0,0.0,"counter_vwap,counter_vwap,spring_upthrust,kbar_feature","counter_vwap,spring_upthrust,kbar_feature"
