ts,Open,High,Low,Close,Volume,Amount
2026-07-01 00:00:00,47282.0,47285.0,47267.0,47270.0,164.0,7753039.0
2026-07-01 00:01:00,47267.0,47280.0,47264.0,47267.0,314.0,14843308.0
2026-07-01 00:02:00,47267.0,47305.0,47265.0,47290.0,373.0,17639919.0
2026-07-01 00:03:00,47287.0,47295.0,47282.0,47286.0,70.0,3310171.0
2026-07-01 00:04:00,47284.0,47290.0,47271.0,47275.0,94.0,4444248.0
2026-07-01 00:05:00,47277.0,47295.0,47275.0,47292.0,65.0,3073498.0
2026-07-01 00:06:00,47293.0,47309.0,47289.0,47303.0,154.0,7284443.0
2026-07-01 00:07:00,47303.0,47338.0,47303.0,47338.0,444.0,21010655.0
2026-07-01 00:08:00,47338.0,47339.0,47309.0,47314.0,266.0,12588848.0
2026-07-01 00:09:00,47314.0,47325.0,47304.0,47308.0,143.0,6766075.0
2026-07-01 00:10:00,47307.0,47315.0,47306.0,47315.0,79.0,3737539.0
2026-07-01 00:11:00,47314.0,47317.0,47303.0,47315.0,117.0,5535343.0
2026-07-01 00:12:00,47316.0,47318.0,47296.0,47303.0,111.0,5250802.0
2026-07-01 00:13:00,47305.0,47325.0,47305.0,47316.0,125.0,5914708.0
2026-07-01 00:14:00,47314.0,47325.0,47310.0,47311.0,106.0,5015861.0
2026-07-01 00:15:00,47311.0,47322.0,47311.0,47320.0,66.0,3122919.0
2026-07-01 00:16:00,47321.0,47322.0,47308.0,47316.0,88.0,4163788.0
2026-07-01 00:17:00,47315.0,47344.0,47315.0,47342.0,233.0,11028424.0
2026-07-01 00:18:00,47341.0,47343.0,47326.0,47326.0,225.0,10650654.0
2026-07-01 00:19:00,47328.0,47335.0,47320.0,47332.0,125.0,5915990.0
2026-07-01 00:20:00,47332.0,47335.0,47325.0,47332.0,85.0,4023027.0
2026-07-01 00:21:00,47334.0,47337.0,47329.0,47333.0,166.0,7857530.0
2026-07-01 00:22:00,47332.0,47332.0,47321.0,47321.0,70.0,3312841.0
2026-07-01 00:23:00,47320.0,47328.0,47320.0,47328.0,71.0,3359972.0
2026-07-01 00:24:00,47327.0,47330.0,47311.0,47312.0,96.0,4542625.0
2026-07-01 00:25:00,47313.0,47332.0,47313.0,47330.0,73.0,3454891.0
2026-07-01 00:26:00,47330.0,47344.0,47317.0,47344.0,123.0,5821789.0
2026-07-01 00:27:00,47342.0,47353.0,47335.0,47338.0,321.0,15198533.0
2026-07-01 00:28:00,47336.0,47342.0,47328.0,47328.0,98.0,4638901.0
2026-07-01 00:29:00,47328.0,47334.0,47322.0,47322.0,62.0,2934238.0
2026-07-01 00:30:00,47323.0,47327.0,47307.0,47312.0,145.0,6860974.0
2026-07-01 00:31:00,47316.0,47324.0,47305.0,47319.0,145.0,6860370.0
2026-07-01 00:32:00,47320.0,47330.0,47310.0,47318.0,107.0,5063184.0
2026-07-01 00:33:00,47318.0,47319.0,47308.0,47308.0,45.0,2129089.0
2026-07-01 00:34:00,47310.0,47315.0,47298.0,47301.0,157.0,7426832.0
2026-07-01 00:35:00,47301.0,47303.0,47281.0,47297.0,221.0,10451612.0
2026-07-01 00:36:00,47298.0,47328.0,47298.0,47318.0,159.0,7522647.0
2026-07-01 00:37:00,47315.0,47327.0,47314.0,47320.0,80.0,3785748.0
2026-07-01 00:38:00,47319.0,47322.0,47307.0,47310.0,81.0,3832466.0
2026-07-01 00:39:00,47307.0,47317.0,47300.0,47310.0,105.0,4967303.0
2026-07-01 00:40:00,47307.0,47318.0,47307.0,47315.0,27.0,1277405.0
2026-07-01 00:41:00,47315.0,47320.0,47305.0,47307.0,56.0,2649539.0
2026-07-01 00:42:00,47310.0,47313.0,47302.0,47306.0,43.0,2034211.0
2026-07-01 00:43:00,47309.0,47325.0,47309.0,47324.0,99.0,4684730.0
2026-07-01 00:44:00,47324.0,47325.0,47310.0,47310.0,46.0,2176715.0
2026-07-01 00:45:00,47310.0,47323.0,47309.0,47323.0,44.0,2081993.0
2026-07-01 00:46:00,47322.0,47332.0,47316.0,47330.0,84.0,3975445.0
2026-07-01 00:47:00,47331.0,47337.0,47328.0,47328.0,96.0,4543900.0
2026-07-01 00:48:00,47331.0,47334.0,47322.0,47324.0,42.0,1987799.0
2026-07-01 00:49:00,47323.0,47430.0,47323.0,47417.0,2645.0,125357780.0
2026-07-01 00:50:00,47420.0,47433.0,47411.0,47427.0,641.0,30398987.0
2026-07-01 00:51:00,47430.0,47435.0,47389.0,47401.0,558.0,26455205.0
2026-07-01 00:52:00,47399.0,47409.0,47392.0,47392.0,270.0,12797474.0
2026-07-01 00:53:00,47392.0,47404.0,47391.0,47400.0,207.0,9811450.0
2026-07-01 00:54:00,47402.0,47403.0,47380.0,47389.0,165.0,7819287.0
2026-07-01 00:55:00,47388.0,47396.0,47380.0,47391.0,128.0,6065650.0
2026-07-01 00:56:00,47393.0,47401.0,47371.0,47377.0,174.0,8244728.0
2026-07-01 00:57:00,47374.0,47377.0,47367.0,47372.0,133.0,6300413.0
2026-07-01 00:58:00,47374.0,47380.0,47367.0,47378.0,92.0,4358309.0
2026-07-01 00:59:00,47375.0,47376.0,47362.0,47371.0,71.0,3363150.0
2026-07-01 01:00:00,47373.0,47377.0,47364.0,47377.0,67.0,3173780.0
2026-07-01 01:01:00,47375.0,47380.0,47360.0,47366.0,246.0,11653808.0
2026-07-01 01:02:00,47367.0,47388.0,47356.0,47388.0,214.0,10137932.0
2026-07-01 01:03:00,47386.0,47386.0,47373.0,47379.0,89.0,4217018.0
2026-07-01 01:04:00,47380.0,47405.0,47380.0,47402.0,211.0,10000758.0
2026-07-01 01:05:00,47404.0,47405.0,47396.0,47400.0,76.0,3602354.0
2026-07-01 01:06:00,47400.0,47405.0,47395.0,47403.0,86.0,4076391.0
2026-07-01 01:07:00,47403.0,47405.0,47393.0,47399.0,77.0,3649737.0
2026-07-01 01:08:00,47396.0,47403.0,47396.0,47400.0,60.0,2844012.0
2026-07-01 01:09:00,47399.0,47402.0,47386.0,47391.0,63.0,2985744.0
2026-07-01 01:10:00,47392.0,47406.0,47392.0,47392.0,120.0,5688024.0
2026-07-01 01:11:00,47391.0,47397.0,47374.0,47396.0,117.0,5543881.0
2026-07-01 01:12:00,47395.0,47401.0,47390.0,47397.0,52.0,2464547.0
2026-07-01 01:13:00,47397.0,47402.0,47393.0,47399.0,45.0,2132908.0
2026-07-01 01:14:00,47403.0,47412.0,47397.0,47397.0,145.0,6874074.0
2026-07-01 01:15:00,47395.0,47397.0,47383.0,47387.0,66.0,3127707.0
2026-07-01 01:16:00,47385.0,47392.0,47378.0,47384.0,76.0,3601220.0
2026-07-01 01:17:00,47387.0,47398.0,47384.0,47396.0,56.0,2653944.0
2026-07-01 01:18:00,47397.0,47397.0,47390.0,47390.0,40.0,1895763.0
2026-07-01 01:19:00,47390.0,47396.0,47387.0,47390.0,34.0,1611265.0
2026-07-01 01:20:00,47394.0,47403.0,47392.0,47400.0,72.0,3412615.0
2026-07-01 01:21:00,47403.0,47424.0,47403.0,47422.0,248.0,11758960.0
2026-07-01 01:22:00,47422.0,47422.0,47401.0,47401.0,102.0,4836205.0
2026-07-01 01:23:00,47402.0,47404.0,47386.0,47400.0,70.0,3317863.0
2026-07-01 01:24:00,47399.0,47401.0,47394.0,47394.0,49.0,2322456.0
2026-07-01 01:25:00,47397.0,47399.0,47388.0,47393.0,49.0,2322182.0
2026-07-01 01:26:00,47393.0,47394.0,47389.0,47392.0,31.0,1469138.0
2026-07-01 01:27:00,47395.0,47397.0,47391.0,47397.0,27.0,1279633.0
2026-07-01 01:28:00,47396.0,47397.0,47385.0,47389.0,76.0,3601604.0
2026-07-01 01:29:00,47385.0,47395.0,47381.0,47392.0,47.0,2227199.0
2026-07-01 01:30:00,47389.0,47395.0,47383.0,47393.0,46.0,2179911.0
2026-07-01 01:31:00,47395.0,47400.0,47385.0,47400.0,77.0,3649174.0
2026-07-01 01:32:00,47398.0,47403.0,47385.0,47386.0,83.0,3933681.0
2026-07-01 01:33:00,47383.0,47395.0,47366.0,47371.0,145.0,6869641.0
2026-07-01 01:34:00,47375.0,47386.0,47368.0,47386.0,73.0,3458414.0
2026-07-01 01:35:00,47382.0,47384.0,47373.0,47375.0,34.0,1610843.0
2026-07-01 01:36:00,47376.0,47390.0,47376.0,47383.0,85.0,4027602.0
2026-07-01 01:37:00,47384.0,47384.0,47367.0,47373.0,69.0,3268865.0
2026-07-01 01:38:00,47368.0,47373.0,47363.0,47369.0,84.0,3978776.0
2026-07-01 01:39:00,47367.0,47375.0,47359.0,47369.0,103.0,4878629.0
2026-07-01 01:40:00,47369.0,47381.0,47367.0,47381.0,32.0,1515969.0
2026-07-01 01:41:00,47383.0,47398.0,47380.0,47398.0,51.0,2416985.0
2026-07-01 01:42:00,47398.0,47400.0,47388.0,47400.0,80.0,3791620.0
2026-07-01 01:43:00,47400.0,47444.0,47400.0,47431.0,578.0,27413857.0
2026-07-01 01:44:00,47435.0,47439.0,47419.0,47423.0,207.0,9817829.0
2026-07-01 01:45:00,47421.0,47433.0,47415.0,47429.0,127.0,6022792.0
2026-07-01 01:46:00,47432.0,47435.0,47418.0,47421.0,74.0,3509564.0
2026-07-01 01:47:00,47423.0,47438.0,47420.0,47430.0,105.0,4980067.0
2026-07-01 01:48:00,47432.0,47437.0,47425.0,47428.0,73.0,3462604.0
2026-07-01 01:49:00,47426.0,47438.0,47423.0,47433.0,82.0,3889414.0
2026-07-01 01:50:00,47431.0,47433.0,47412.0,47412.0,65.0,3082314.0
2026-07-01 01:51:00,47413.0,47420.0,47406.0,47415.0,71.0,3366149.0
2026-07-01 01:52:00,47411.0,47428.0,47411.0,47422.0,58.0,2750417.0
2026-07-01 01:53:00,47424.0,47430.0,47417.0,47422.0,45.0,2134115.0
2026-07-01 01:54:00,47423.0,47438.0,47423.0,47431.0,74.0,3509988.0
2026-07-01 01:55:00,47431.0,47431.0,47423.0,47429.0,40.0,1897132.0
2026-07-01 01:56:00,47425.0,47430.0,47423.0,47430.0,36.0,1707336.0
2026-07-01 01:57:00,47430.0,47446.0,47428.0,47446.0,264.0,12523863.0
2026-07-01 01:58:00,47446.0,47463.0,47442.0,47454.0,612.0,29041845.0
2026-07-01 01:59:00,47454.0,47454.0,47427.0,47431.0,148.0,7021103.0
2026-07-01 02:00:00,47431.0,47438.0,47430.0,47438.0,80.0,3794710.0
2026-07-01 02:01:00,47439.0,47450.0,47429.0,47429.0,108.0,5123228.0
2026-07-01 02:02:00,47432.0,47468.0,47430.0,47457.0,195.0,9253602.0
2026-07-01 02:03:00,47459.0,47470.0,47455.0,47459.0,144.0,6834860.0
2026-07-01 02:04:00,47458.0,47466.0,47450.0,47460.0,96.0,4555894.0
2026-07-01 02:05:00,47463.0,47465.0,47440.0,47451.0,87.0,4128671.0
2026-07-01 02:06:00,47452.0,47459.0,47440.0,47440.0,57.0,2704596.0
2026-07-01 02:07:00,47442.0,47448.0,47420.0,47432.0,138.0,6545432.0
2026-07-01 02:08:00,47435.0,47463.0,47433.0,47458.0,91.0,4317890.0
2026-07-01 02:09:00,47462.0,47465.0,47453.0,47456.0,67.0,3179714.0
2026-07-01 02:10:00,47460.0,47464.0,47454.0,47455.0,46.0,2183085.0
2026-07-01 02:11:00,47456.0,47461.0,47452.0,47454.0,47.0,2230501.0
2026-07-01 02:12:00,47452.0,47457.0,47445.0,47457.0,67.0,3179201.0
2026-07-01 02:13:00,47451.0,47453.0,47440.0,47441.0,50.0,2372395.0
2026-07-01 02:14:00,47444.0,47450.0,47441.0,47447.0,28.0,1328439.0
2026-07-01 02:15:00,47445.0,47450.0,47442.0,47447.0,16.0,759133.0
2026-07-01 02:16:00,47443.0,47449.0,47439.0,47443.0,26.0,1233513.0
2026-07-01 02:17:00,47450.0,47450.0,47444.0,47448.0,31.0,1470908.0
2026-07-01 02:18:00,47448.0,47451.0,47444.0,47445.0,25.0,1186190.0
2026-07-01 02:19:00,47445.0,47461.0,47444.0,47461.0,45.0,2135258.0
2026-07-01 02:20:00,47462.0,47466.0,47456.0,47462.0,50.0,2373087.0
2026-07-01 02:21:00,47462.0,47468.0,47454.0,47463.0,67.0,3180031.0
2026-07-01 02:22:00,47464.0,47474.0,47462.0,47474.0,95.0,4509562.0
2026-07-01 02:23:00,47467.0,47470.0,47463.0,47470.0,72.0,3417623.0
2026-07-01 02:24:00,47470.0,47473.0,47467.0,47467.0,58.0,2753268.0
2026-07-01 02:25:00,47465.0,47467.0,47462.0,47464.0,26.0,1234082.0
2026-07-01 02:26:00,47464.0,47473.0,47462.0,47473.0,50.0,2373325.0
2026-07-01 02:27:00,47471.0,47479.0,47466.0,47478.0,120.0,5696846.0
2026-07-01 02:28:00,47479.0,47479.0,47470.0,47471.0,58.0,2753400.0
2026-07-01 02:29:00,47472.0,47482.0,47466.0,47473.0,156.0,7406347.0
2026-07-01 02:30:00,47472.0,47479.0,47469.0,47479.0,46.0,2183841.0
2026-07-01 02:31:00,47479.0,47479.0,47461.0,47461.0,109.0,5174085.0
2026-07-01 02:32:00,47461.0,47468.0,47458.0,47461.0,68.0,3227478.0
2026-07-01 02:33:00,47461.0,47474.0,47461.0,47468.0,52.0,2468405.0
2026-07-01 02:34:00,47466.0,47478.0,47456.0,47477.0,72.0,3417656.0
2026-07-01 02:35:00,47475.0,47479.0,47472.0,47477.0,21.0,996961.0
2026-07-01 02:36:00,47475.0,47491.0,47475.0,47488.0,219.0,10399495.0
2026-07-01 02:37:00,47488.0,47491.0,47480.0,47485.0,89.0,4226182.0
2026-07-01 02:38:00,47486.0,47495.0,47480.0,47495.0,114.0,5413484.0
2026-07-01 02:39:00,47494.0,47496.0,47478.0,47479.0,107.0,5081409.0
2026-07-01 02:40:00,47479.0,47487.0,47476.0,47486.0,52.0,2469109.0
2026-07-01 02:41:00,47482.0,47485.0,47479.0,47484.0,36.0,1709393.0
2026-07-01 02:42:00,47480.0,47490.0,47479.0,47486.0,54.0,2564154.0
2026-07-01 02:43:00,47488.0,47492.0,47482.0,47487.0,40.0,1899525.0
2026-07-01 02:44:00,47486.0,47496.0,47484.0,47495.0,70.0,3324329.0
2026-07-01 02:45:00,47496.0,47507.0,47496.0,47507.0,637.0,30257893.0
2026-07-01 02:46:00,47506.0,47507.0,47501.0,47506.0,93.0,4417944.0
2026-07-01 02:47:00,47506.0,47508.0,47500.0,47501.0,98.0,4655356.0
2026-07-01 02:48:00,47502.0,47506.0,47497.0,47499.0,77.0,3657573.0
2026-07-01 02:49:00,47496.0,47507.0,47493.0,47507.0,61.0,2897432.0
2026-07-01 02:50:00,47505.0,47510.0,47504.0,47510.0,45.0,2137861.0
2026-07-01 02:51:00,47510.0,47518.0,47503.0,47516.0,115.0,5464096.0
2026-07-01 02:52:00,47518.0,47519.0,47502.0,47506.0,73.0,3468333.0
2026-07-01 02:53:00,47510.0,47515.0,47506.0,47510.0,29.0,1377817.0
2026-07-01 02:54:00,47507.0,47509.0,47495.0,47497.0,38.0,1805043.0
2026-07-01 02:55:00,47497.0,47497.0,47472.0,47478.0,121.0,5745109.0
2026-07-01 02:56:00,47478.0,47488.0,47478.0,47485.0,44.0,2089208.0
2026-07-01 02:57:00,47483.0,47486.0,47476.0,47484.0,38.0,1804262.0
2026-07-01 02:58:00,47485.0,47489.0,47482.0,47485.0,24.0,1139649.0
2026-07-01 02:59:00,47489.0,47492.0,47486.0,47487.0,22.0,1044747.0
2026-07-01 03:00:00,47487.0,47494.0,47483.0,47485.0,43.0,2041971.0
2026-07-01 03:01:00,47482.0,47499.0,47481.0,47498.0,62.0,2944434.0
2026-07-01 03:02:00,47498.0,47500.0,47482.0,47482.0,87.0,4132177.0
2026-07-01 03:03:00,47483.0,47490.0,47481.0,47488.0,33.0,1567068.0
2026-07-01 03:04:00,47485.0,47489.0,47475.0,47479.0,51.0,2421576.0
2026-07-01 03:05:00,47478.0,47485.0,47475.0,47478.0,34.0,1614223.0
2026-07-01 03:06:00,47478.0,47485.0,47464.0,47464.0,80.0,3797879.0
2026-07-01 03:07:00,47466.0,47475.0,47450.0,47470.0,128.0,6075135.0
2026-07-01 03:08:00,47468.0,47488.0,47468.0,47488.0,53.0,2516561.0
2026-07-01 03:09:00,47485.0,47490.0,47480.0,47490.0,51.0,2421727.0
2026-07-01 03:10:00,47490.0,47493.0,47485.0,47485.0,28.0,1329679.0
2026-07-01 03:11:00,47484.0,47485.0,47478.0,47485.0,48.0,2279116.0
2026-07-01 03:12:00,47482.0,47495.0,47472.0,47488.0,38.0,1804370.0
2026-07-01 03:13:00,47489.0,47493.0,47488.0,47490.0,32.0,1519695.0
2026-07-01 03:14:00,47490.0,47491.0,47485.0,47489.0,34.0,1614648.0
2026-07-01 03:15:00,47490.0,47492.0,47488.0,47488.0,19.0,902295.0
2026-07-01 03:16:00,47486.0,47495.0,47486.0,47495.0,64.0,3039444.0
2026-07-01 03:17:00,47495.0,47496.0,47488.0,47488.0,31.0,1472234.0
2026-07-01 03:18:00,47487.0,47493.0,47485.0,47486.0,38.0,1804559.0
2026-07-01 03:19:00,47486.0,47499.0,47486.0,47493.0,36.0,1709823.0
2026-07-01 03:20:00,47493.0,47494.0,47482.0,47485.0,27.0,1282130.0
2026-07-01 03:21:00,47489.0,47493.0,47485.0,47486.0,16.0,759810.0
2026-07-01 03:22:00,47485.0,47491.0,47473.0,47477.0,44.0,2089194.0
2026-07-01 03:23:00,47473.0,47478.0,47470.0,47475.0,33.0,1566639.0
2026-07-01 03:24:00,47475.0,47478.0,47465.0,47468.0,35.0,1661496.0
