ts,Close_near,Close_far,spread,spread_ma,spread_std,spread_z,vwap,vwap_std,vwap_z
2026-05-18 08:46:00,40318.0,40521.0,-203.0,,,,,,
2026-05-18 08:47:00,40274.0,40464.0,-190.0,,,,,,
2026-05-18 08:48:00,40315.0,40493.0,-178.0,,,,,,
2026-05-18 08:49:00,40339.0,40529.0,-190.0,,,,,,
2026-05-18 08:50:00,40411.0,40601.0,-190.0,,,,,,
2026-05-18 08:51:00,40417.0,40626.0,-209.0,,,,,,
2026-05-18 08:52:00,40371.0,40564.0,-193.0,,,,,,
2026-05-18 08:53:00,40383.0,40586.0,-203.0,,,,,,
2026-05-18 08:54:00,40423.0,40620.0,-197.0,,,,,,
2026-05-18 08:55:00,40428.0,40620.0,-192.0,,,,,,
2026-05-18 08:56:00,40462.0,40655.0,-193.0,,,,,,
2026-05-18 08:57:00,40462.0,40666.0,-204.0,,,,,,
2026-05-18 08:58:00,40491.0,40688.0,-197.0,,,,,,
2026-05-18 08:59:00,40520.0,40720.0,-200.0,,,,,,
2026-05-18 09:00:00,40509.0,40710.0,-201.0,,,,,,
2026-05-18 09:01:00,40549.0,40738.0,-189.0,,,,,,
2026-05-18 09:02:00,40530.0,40713.0,-183.0,,,,,,
2026-05-18 09:03:00,40524.0,40696.0,-172.0,,,,,,
2026-05-18 09:04:00,40438.0,40609.0,-171.0,,,,,,
2026-05-18 09:05:00,40488.0,40670.0,-182.0,-191.85,10.53952460727563,0.9345772572323001,40432.6,79.82177515862624,0.6940462034314261
2026-05-18 09:06:00,40430.0,40601.0,-171.0,-190.25,11.167975833181524,1.7236785150273803,40438.2,75.15079577265816,-0.10911394770593322
2026-05-18 09:07:00,40422.0,40591.0,-169.0,-189.2,12.137805229508093,1.6642217944717037,40445.6,64.6898674242659,-0.3648175663310437
2026-05-18 09:08:00,40396.0,40564.0,-168.0,-188.7,12.810768496608022,1.6158281219023545,40449.65,58.30344848517838,-0.9201857076025288
2026-05-18 09:09:00,40308.0,40485.0,-177.0,-188.05,13.068543993317068,0.8455417838169814,40448.1,61.712320701108474,-2.27021117352798
2026-05-18 09:10:00,40347.0,40512.0,-165.0,-186.8,14.03229358151743,1.553559286182109,40444.9,65.29278190138426,-1.499400043145135
2026-05-18 09:11:00,40300.0,40469.0,-169.0,-184.8,13.54369148154849,1.1665947959258705,40439.05,72.74068940240774,-1.9115848521969097
2026-05-18 09:12:00,40326.0,40498.0,-172.0,-183.75,13.687777875093369,0.8584300612724437,40436.8,75.596296205573,-1.4656802722014135
2026-05-18 09:13:00,40329.0,40479.0,-150.0,-181.1,14.8462293635721,2.0948079972622176,40434.1,78.52649569614424,-1.338401759409711
2026-05-18 09:14:00,40376.0,40548.0,-172.0,-179.85,14.485110322418416,0.5419358103093389,40431.75,79.5724595308595,-0.7006192887424729
