ts,Open,High,Low,Close,Volume,Amount
2026-07-06 08:46:00,47500.0,47658.0,47492.0,47652.0,222.0,10563928.0
2026-07-06 08:47:00,47654.0,47761.0,47654.0,47708.0,197.0,9400890.0
2026-07-06 08:48:00,47717.0,47721.0,47661.0,47666.0,91.0,4339940.0
2026-07-06 08:49:00,47670.0,47678.0,47605.0,47628.0,71.0,3383313.0
2026-07-06 08:50:00,47649.0,47650.0,47531.0,47561.0,140.0,6660443.0
2026-07-06 08:51:00,47547.0,47548.0,47498.0,47531.0,108.0,5132126.0
2026-07-06 08:52:00,47518.0,47628.0,47515.0,47556.0,96.0,4567093.0
2026-07-06 08:53:00,47572.0,47572.0,47474.0,47512.0,85.0,4037976.0
2026-07-06 08:54:00,47518.0,47570.0,47500.0,47560.0,49.0,2328912.0
2026-07-06 08:55:00,47567.0,47568.0,47523.0,47560.0,24.0,1141117.0
2026-07-06 08:56:00,47560.0,47587.0,47530.0,47539.0,39.0,1854731.0
2026-07-06 08:57:00,47538.0,47556.0,47500.0,47501.0,38.0,1805869.0
2026-07-06 08:58:00,47501.0,47526.0,47477.0,47485.0,52.0,2469909.0
2026-07-06 08:59:00,47503.0,47503.0,47478.0,47503.0,29.0,1377309.0
2026-07-06 09:00:00,47520.0,47578.0,47500.0,47578.0,45.0,2139220.0
2026-07-06 09:01:00,47578.0,47589.0,47501.0,47542.0,31.0,1474082.0
2026-07-06 09:02:00,47536.0,47580.0,47516.0,47567.0,41.0,1949281.0
2026-07-06 09:03:00,47520.0,47564.0,47423.0,47555.0,96.0,4557752.0
2026-07-06 09:04:00,47570.0,47600.0,47482.0,47533.0,63.0,2996547.0
2026-07-06 09:05:00,47514.0,47528.0,47400.0,47400.0,113.0,5359682.0
2026-07-06 09:06:00,47388.0,47467.0,47374.0,47428.0,83.0,3935720.0
2026-07-06 09:07:00,47419.0,47465.0,47400.0,47460.0,32.0,1517795.0
2026-07-06 09:08:00,47456.0,47456.0,47350.0,47354.0,96.0,4549366.0
2026-07-06 09:09:00,47358.0,47438.0,47350.0,47415.0,59.0,2796123.0
2026-07-06 09:10:00,47414.0,47500.0,47393.0,47488.0,54.0,2562332.0
