ts,Close_near,Close_far,spread,spread_ma,spread_std,spread_z,vwap,vwap_std,vwap_z
2026-06-25 00:00:00,45776.0,46060.0,-284.0,,,,,,
2026-06-25 00:01:00,45785.0,46090.0,-305.0,,,,,,
2026-06-25 00:02:00,45788.0,46071.0,-283.0,,,,,,
2026-06-25 00:03:00,45796.0,46078.0,-282.0,,,,,,
2026-06-25 00:04:00,45780.0,46062.0,-282.0,,,,,,
2026-06-25 00:06:00,45777.0,46054.0,-277.0,,,,,,
2026-06-25 00:07:00,45740.0,46029.0,-289.0,,,,,,
2026-06-25 00:08:00,45780.0,46038.0,-258.0,,,,,,
2026-06-25 00:09:00,45767.0,46069.0,-302.0,,,,,,
2026-06-25 00:10:00,45780.0,46064.0,-284.0,,,,,,
2026-06-25 00:11:00,45814.0,46095.0,-281.0,,,,,,
2026-06-25 00:12:00,45811.0,46093.0,-282.0,,,,,,
2026-06-25 00:13:00,45807.0,46092.0,-285.0,,,,,,
2026-06-25 00:14:00,45797.0,46077.0,-280.0,,,,,,
2026-06-25 00:15:00,45803.0,46087.0,-284.0,,,,,,
2026-06-25 00:16:00,45816.0,46092.0,-276.0,,,,,,
2026-06-25 00:17:00,45810.0,46097.0,-287.0,,,,,,
2026-06-25 00:18:00,45802.0,46076.0,-274.0,,,,,,
2026-06-25 00:19:00,45812.0,46099.0,-287.0,,,,,,
2026-06-25 00:20:00,45811.0,46096.0,-285.0,-283.35,9.538150543447808,-0.17298951117241884,45791.35,19.148381819773086,1.0261963744482254
2026-06-25 00:21:00,45816.0,46101.0,-285.0,-283.4,9.54435628222801,-0.16763833544010606,45793.1,19.27064852922381,1.1883357202677305
2026-06-25 00:22:00,45802.0,46084.0,-282.0,-282.25,8.077747210701755,0.030949223029508647,45794.65,19.823630237408757,0.37076962755936166
2026-06-25 00:23:00,45850.0,46138.0,-288.0,-282.5,8.178920273612235,-0.6724604001514389,45795.35,19.823630237408757,2.7568109042345124
2026-06-25 00:24:00,45846.0,46127.0,-281.0,-282.45,8.18519202102508,0.17714917332121388,45798.05,23.2910079780081,2.0587344285516784
2026-06-25 00:25:00,45834.0,46109.0,-275.0,-282.1,8.353379398089196,0.84995540866061,45801.35,25.19664764669473,1.2958073017417637
