timestamp,Open,High,Low,Close,Volume,Amount,sqz_on,momentum,atr,mom_velo,vwap,price_vs_vwap,fired,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,bullish_align,bearish_align,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,score,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,adx,trading_day,mom_prev,session
2026-02-11 15:01:00,33831.0,33945.0,33828.0,33904.0,17,575596.0,False,0.0,,0.0,33904.0,0.0,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:02:00,33892.0,33892.0,33892.0,33892.0,3,101676.0,False,0.0,,0.0,33902.2,-0.0003008654305619426,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:03:00,33892.0,33899.0,33892.0,33899.0,3,101683.0,False,0.0,,0.0,33901.782608695656,-8.207853633460345e-05,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:04:00,33892.0,33899.0,33892.0,33899.0,2,67791.0,False,0.0,,0.0,33901.56,-7.551274926574682e-05,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:06:00,33898.0,33898.0,33898.0,33898.0,1,33898.0,False,0.0,,0.0,33901.42307692308,-0.00010097148179623625,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:07:00,33904.0,33904.0,33900.0,33900.0,5,169512.0,False,0.0,,0.0,33901.1935483871,-3.52066774697731e-05,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:08:00,33892.0,33892.0,33888.0,33888.0,2,67780.0,False,0.0,,0.0,33900.393939393936,-0.0003655986834870947,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:09:00,33880.0,33880.0,33880.0,33880.0,1,33880.0,False,0.0,,0.0,33899.794117647056,-0.000583900821885868,False,0,,,,,False,False,False,,,,False,,,,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:10:00,33890.0,33890.0,33890.0,33890.0,1,33890.0,False,0.0,,0.0,33899.514285714286,-0.00028066141697773395,False,0,,,,,False,False,False,,,,False,52.991452991452995,52.991452991452995,52.991452991452995,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
2026-02-11 15:11:00,33883.0,33883.0,33883.0,33883.0,1,33883.0,False,0.0,,0.0,33899.055555555555,-0.0004736284032822702,False,0,,,,,False,False,False,,,,False,12.5,39.494301994302,48.492402659069334,,,-70.0,,,False,False,False,False,33831.0,33828.0,33945.0,True,False,,2026-02-23,0.0,2
