Open,High,Low,Close,Volume,trading_day,sqz_on,momentum,atr,mom_velo,vwap,price_vs_vwap,fired,mom_prev,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,bullish_align,bearish_align,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,score,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,adx,session,regime,open,high,low,close,volume,amount,bull_align,bear_align,in_pb_zone,timestamp
37237.0,37240.0,37234.0,37240.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37128.0,37130.0,37128.0,37130.0,3.0,2026-04-17,False,64.33333333333334,52.5,-18.83333333333333,37188.0035554524,-0.0015597383539535,False,112.66666666666669,2.0,37184.355393393635,37170.58289881113,37170.58289881113,37199.320511244514,True,False,False,21.329949191160267,24.36398174459869,-3.0340325534384185,False,1.351351351351351,42.05335303361127,55.201729024830264,37299.28054490521,37060.619455094784,33.33333333333333,37286.0,37056.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,18.44825707317115,2.0,WEAK,37128.0,37130.0,37128.0,37130.0,3.0,0.0,True,False,False,2026-04-17 03:10:00
37130.0,37137.0,37126.0,37135.0,53.0,2026-04-17,False,26.999999999999996,50.85,-31.666666666666668,37187.98874069855,-0.0014248885861514,False,64.33333333333334,2.0,37179.65487973709,37169.414840296035,37169.414840296035,37197.137145623165,True,False,False,14.744215431288469,22.4400284856343,-7.695813054345834,False,6.0,30.035568689074186,46.81300891291158,37295.45592468009,37069.34407531991,33.33333333333333,37286.0,37057.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,17.72619661812236,2.0,WEAK,37130.0,37137.0,37126.0,37135.0,53.0,0.0,True,False,False,2026-04-17 03:15:00
37133.0,37145.0,37131.0,37139.0,92.0,2026-04-17,False,-3.1666666666666714,49.7,-38.611111111111114,37187.96498394944,-0.0013166889871648,False,26.999999999999996,0.0,37175.7829864288,37168.41767777538,37168.41767777538,37196.608452385975,True,False,False,9.73551558345207,19.89912590507803,-10.16361032162596,False,8.666666666666668,22.91260134827168,38.84620639136495,37290.234961329064,37080.265038670936,-20.000000000000004,37286.0,37057.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,16.8907192438798,2.0,WEAK,37133.0,37145.0,37131.0,37139.0,92.0,0.0,True,False,False,2026-04-17 03:20:00
37132.0,37158.0,37131.0,37147.0,211.0,2026-04-17,False,67.16666666666667,52.35,-17.888888888888886,37187.95888310429,-0.0011014017529986,False,112.66666666666669,2.0,37185.97444101268,37171.140275860314,37171.140275860314,37199.48966547337,True,False,False,22.686074547287717,24.635206815824176,-1.9491322685364592,False,11.03448275862069,45.28106350270105,56.27763251452686,37298.86795545477,37062.732044545235,33.33333333333333,37286.0,37056.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,18.401974897724504,2.0,WEAK,37132.0,37158.0,37131.0,37147.0,211.0,0.0,True,False,False,2026-04-17 03:30:00
37147.0,37168.0,37142.0,37154.0,196.0,2026-04-17,False,32.99999999999999,51.45,-29.666666666666668,37187.92384667214,-0.0009122274965392,False,67.16666666666667,2.0,37182.929256154326,37170.57689350753,37170.57689350753,37197.49367145174,True,False,False,17.30692190281843,23.16954983691952,-5.862627934101088,False,15.862068965517242,35.47473199030645,49.34333233978673,37294.42961680536,37073.97038319463,33.33333333333333,37286.0,37057.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,17.57845352822607,2.0,WEAK,37147.0,37168.0,37142.0,37154.0,196.0,0.0,True,False,False,2026-04-17 03:35:00
37154.0,37154.0,37125.0,37125.0,202.0,2026-04-17,False,0.4999999999999946,51.05,-37.38888888888889,37187.8570098962,-0.0016902563081135,False,32.99999999999999,2.0,37177.412184139626,37169.082614488136,37169.082614488136,37196.82212721127,True,False,False,10.581865875086804,20.65201304443525,-10.070147169348443,False,0.0,23.64982132687097,40.77882866881481,37289.64574302127,37083.05425697873,33.33333333333333,37286.0,37057.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,17.107922408712465,2.0,WEAK,37154.0,37154.0,37125.0,37125.0,202.0,0.0,True,False,False,2026-04-17 03:40:00
37142.0,37146.0,37140.0,37146.0,45.0,2026-04-17,False,67.0,51.9,-17.944444444444443,37187.99450450925,-0.001129248970502,False,112.66666666666669,2.0,37185.87920291744,37171.10748897507,37171.10748897507,37199.47971522461,True,False,False,22.6063024675168,24.619252399869993,-2.0129499323531945,False,4.411764705882353,43.07349081845494,55.54177495311149,37298.8790552075,37062.6209447925,33.33333333333333,37286.0,37056.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,18.259028050173896,2.0,WEAK,37142.0,37146.0,37140.0,37146.0,45.0,0.0,True,False,False,2026-04-17 03:45:00
37144.0,37168.0,37131.0,37168.0,224.0,2026-04-17,False,35.16666666666666,51.55,-28.944444444444446,37187.97091142788,-0.0005370261118964,False,67.0,2.0,37184.1764216872,37171.00419799557,37171.00419799557,37197.62312369302,True,False,False,18.362140610457573,23.367830045685164,-5.005689435227591,False,25.517241379310345,37.22140767207341,49.43498585943214,37294.52180705706,37075.178192942934,33.33333333333333,37286.0,37057.0,False,False,False,False,37568.0,36930.0,37569.0,False,True,17.077102476083102,2.0,WEAK,37144.0,37168.0,37131.0,37168.0,224.0,0.0,True,False,False,2026-04-17 03:50:00
37168.0,37213.0,37160.0,37179.0,864.0,2026-04-17,True,11.666666666666664,52.35,-33.666666666666664,37187.930266704425,-0.0002401388472114,False,35.16666666666666,2.0,37183.68342914557,37171.26640079625,37171.26640079625,37197.487604803384,True,False,False,15.705180285593087,21.83530009354809,-6.130119807955001,False,33.10344827586207,35.848754540002965,44.90624208628908,37288.23473873126,37091.16526126873,33.33333333333333,37286.0,37057.0,False,False,True,False,37568.0,36930.0,37569.0,False,True,16.521289775560355,2.0,WEAK,37168.0,37213.0,37160.0,37179.0,864.0,0.0,True,False,True,2026-04-17 03:55:00
