timestamp,Close,vwap,score,sqz_on,mom_state,regime,bull_align,bear_align,in_pb_zone,momentum,atr,mom_velo,trading_day,fired,mom_prev,ema_fast,ema_slow,ema_filter,ema_macro,bullish_align,bearish_align,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,in_bull_pb_zone,in_bear_pb_zone,adx,session
2026-01-01 00:00:00,31795.009765625,31795.009765625,-70.0,False,0,NORMAL,False,True,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:05:00,31795.009765625,31795.009765625,-70.0,False,0,NORMAL,False,True,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:10:00,31795.009765625,31795.009765625,-70.0,False,0,NORMAL,False,True,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:15:00,33080.0,32849.108897053375,-70.0,False,0,NORMAL,True,False,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:20:00,31795.009765625,31795.009765625,-70.0,False,0,NORMAL,False,True,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:25:00,33123.0,32868.46695857523,-70.0,False,0,NORMAL,True,False,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:30:00,33131.0,32869.02961015094,-70.0,False,0,NORMAL,True,False,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:35:00,33140.0,32870.14382241262,-70.0,False,0,NORMAL,True,False,False,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:40:00,33138.0,32908.83531493346,-70.0,False,0,NORMAL,True,False,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
2026-01-01 00:45:00,33138.0,32908.83531493346,-70.0,False,0,NORMAL,True,False,True,0.0,,0.0,2026-01-02,False,0.0,,,,,False,False,False,,,,False,50.0,50.0,50.0,,,False,False,0.0,2
