Open,High,Low,Close,Volume,trading_day,sqz_on,momentum,atr,mom_velo,vwap,price_vs_vwap,fired,mom_prev,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,bullish_align,bearish_align,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,score,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,adx,timestamp,session,regime,open,high,low,close,volume,amount,bull_align,bear_align,in_pb_zone
36977.0,36999.0,36977.0,36999.0,2276.0,2026-04-15,False,-51.5,53.95,62.94444444444443,36809.54327356824,0.005146945861939,False,-139.33333333333331,1,36779.74493784885,36807.80112635733,36807.80112635733,,False,True,False,-15.032342963342671,-46.96124189771217,31.9288989343695,True,100.0,63.81455419092437,38.65060940194489,37010.59689851494,36520.00310148507,-33.33333333333333,36999.0,36618.0,True,False,False,False,36558.0,36551.0,37067.0,True,False,44.62128590922501,2026-04-15 14:55:00,2,STRONG,36977.0,36999.0,36977.0,36999.0,2276.0,0,False,True,False
37000.0,37190.0,37000.0,37062.0,3912.0,2026-04-16,False,49.333333333333336,61.9,89.72222222222221,37062.0,0.0,False,-51.5,3,36806.62637233944,36816.135515657086,36816.135515657086,,False,True,False,8.971712018348626,-35.77465111450001,44.74636313284864,True,77.62237762237763,68.41716200140878,48.57279360176619,37046.98235476361,36500.117645236394,33.333333333333336,37190.0,36618.0,True,False,False,False,37000.0,37000.0,37190.0,True,False,45.397896433014346,2026-04-15 15:00:00,2,STRONG,37000.0,37190.0,37000.0,37062.0,3912.0,0,False,True,False
37063.0,37096.0,37047.0,37088.0,1436.0,2026-04-16,False,153.33333333333331,62.95,97.55555555555554,37068.98130142109,0.0005130623478499,False,49.333333333333336,3,36833.42386068806,36825.04910530767,36825.04910530767,,True,False,False,29.750140143398312,-22.669692862920343,52.419833006318655,True,81.7531305903399,72.86248486438582,56.669357355972735,37084.65625581318,36480.24374418682,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,46.11903477653301,2026-04-15 15:05:00,2,STRONG,37063.0,37096.0,37047.0,37088.0,1436.0,0,True,False,False
37090.0,37100.0,37074.0,37082.0,1119.0,2026-04-16,False,247.33333333333331,63.35,99.6111111111111,37071.233957012526,0.0002904150155875,False,153.33333333333331,3,36857.09777871777,36833.47372480578,36833.47372480578,,True,False,False,45.211869983322686,-9.09338029367174,54.30525027699443,True,80.67978533094812,75.46825168657325,62.93565546617291,37118.59963408921,36464.5003659108,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,46.80997162707582,2026-04-15 15:10:00,2,STRONG,37090.0,37100.0,37074.0,37082.0,1119.0,0,True,False,False
37084.0,37098.0,37057.0,37066.0,1044.0,2026-04-16,False,329.5,62.5,93.38888888888889,37070.50645719611,-0.0001215644895846,False,247.33333333333331,3,36876.993228363695,36841.09753710723,36841.09753710723,,True,False,False,55.534172621628386,3.832130289388284,51.702042332240104,False,77.57685352622062,76.17111896645571,67.34747663293385,37150.50719240481,36453.49280759519,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,47.12032829702039,2026-04-15 15:15:00,2,STRONG,37084.0,37098.0,37057.0,37066.0,1044.0,0,True,False,False
37068.0,37120.0,37068.0,37103.0,1528.0,2026-04-16,False,369.3333333333333,64.3,72.0,37075.99933620976,0.0007282518144796,False,329.5,3,36898.51768280525,36849.68450310371,36849.68450310371,,True,False,False,65.94014565595717,16.25373336270206,49.6864122932551,False,84.21052631578947,78.85092141623363,71.18195822736712,37188.114715159725,36441.385284840275,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,47.547482350067305,2026-04-15 15:20:00,2,STRONG,37068.0,37120.0,37068.0,37103.0,1528.0,0,True,False,False
37104.0,37105.0,37073.0,37083.0,763.0,2026-04-16,False,401.33333333333326,60.5,51.333333333333314,37076.54427667823,0.0001741187979547,False,369.3333333333333,3,36916.087427299986,36857.334191526534,36857.334191526534,,True,False,False,71.74607728506089,27.352202147173827,44.393875137887065,False,80.43875685557586,79.38019989601437,73.91470545024954,37221.86599539606,36440.33400460394,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,47.94412539932515,2026-04-15 15:25:00,2,STRONG,37104.0,37105.0,37073.0,37083.0,763.0,0,True,False,False
37085.0,37110.0,37082.0,37083.0,783.0,2026-04-16,False,418.33333333333326,59.2,29.61111111111109,37077.02182333491,0.000161236700552,False,401.33333333333326,3,36931.98386279523,36864.733070492875,36864.733070492875,,True,False,False,75.47726500262797,36.977214718264655,38.50005028436332,False,49.76525821596244,69.5085526693304,72.44598785660983,37252.08856431654,36442.41143568346,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,48.34724139569874,2026-04-15 15:30:00,2,STRONG,37085.0,37110.0,37082.0,37083.0,783.0,0,True,False,False
37084.0,37090.0,37061.0,37082.0,600.0,2026-04-16,False,422.5,58.8,17.72222222222223,37077.28886902101,0.0001270624450356,False,418.33333333333326,3,36946.271113957584,36871.856576378355,36871.856576378355,,True,False,False,77.46064837105223,45.07390144882217,32.38674692223006,False,49.29577464788733,62.77095999551605,69.22097856957858,37278.94855829057,36449.25144170943,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,48.2291667092048,2026-04-15 15:35:00,2,STRONG,37084.0,37090.0,37061.0,37082.0,600.0,0,True,False,False
37081.0,37088.0,37071.0,37077.0,308.0,2026-04-16,False,434.3333333333333,57.85,11.00000000000002,37077.28112764291,-7.5822076043033344e-06,False,422.5,3,36958.72148405686,36878.582590267586,36878.582590267586,,True,False,False,77.73297837912105,51.605716834881946,26.127261544239104,False,40.526315789473685,55.35607859350193,64.59934524421969,37301.35690113111,36462.64309886889,33.333333333333336,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,48.11952592888901,2026-04-15 15:40:00,2,STRONG,37081.0,37088.0,37071.0,37077.0,308.0,0,True,False,False
37076.0,37097.0,37055.0,37097.0,840.0,2026-04-16,False,446.0,55.9,9.222222222222248,37078.62417903187,0.000495590690728,False,434.3333333333333,3,36971.89086652764,36885.74381681619,36885.74381681619,,True,False,False,78.65593803355296,57.01576107461615,21.64017695893681,False,68.4931506849315,59.735102623978456,62.977931037472615,37321.13157098821,36484.968429011795,100.0,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,47.6180020041806,2026-04-15 15:45:00,2,STRONG,37076.0,37097.0,37055.0,37097.0,840.0,0,True,False,False
37095.0,37102.0,37073.0,37083.0,439.0,2026-04-16,False,385.0,54.0,-12.5,37078.77458502975,0.0001139577835982,False,446.0,2,36982.472688763104,36892.21123265828,36892.21123265828,,True,False,False,77.36588148892042,61.08578515747701,16.28009633144341,False,43.07692307692308,54.18237610829333,60.04607939441286,37337.3864080284,36504.9135919716,66.66666666666666,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,47.2056298475873,2026-04-15 15:50:00,2,STRONG,37095.0,37102.0,37073.0,37083.0,439.0,0,True,False,False
37083.0,37094.0,37071.0,37087.0,321.0,2026-04-16,False,325.3333333333333,51.75,-36.333333333333336,37078.97624684946,0.0002163962968428,False,385.0,2,36992.42767078566,36898.597749620305,36898.597749620305,,True,False,False,75.7925792788592,64.02714398175345,11.76543529710574,False,49.23076923076923,52.53184048245197,57.541333090425894,37348.10946011871,36534.4905398813,66.66666666666666,37190.0,36618.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,46.767692285142495,2026-04-15 15:55:00,2,STRONG,37083.0,37094.0,37071.0,37087.0,321.0,0,True,False,False
37087.0,37105.0,37075.0,37089.0,620.0,2026-04-16,False,255.66666666666663,49.85,-63.44444444444446,37079.42944651061,0.0002581095133407,False,325.3333333333333,2,37001.625035472745,36904.840446354065,36904.840446354065,,True,False,False,73.85574615954101,65.99286441731097,7.862881742230044,False,52.307692307692314,52.45712442419875,55.84659686835018,37349.43718973308,36578.16281026693,66.66666666666666,37190.0,36631.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,46.49219947652553,2026-04-15 16:00:00,2,STRONG,37087.0,37105.0,37075.0,37089.0,620.0,0,True,False,False
37091.0,37106.0,37077.0,37080.0,436.0,2026-04-16,False,181.5,50.5,-67.83333333333333,37079.44702805852,1.491316580473037e-05,False,255.66666666666663,2,37009.08931780868,36910.583382539175,36910.583382539175,,True,False,False,70.77867467107717,66.95002646806421,3.828648203012961,False,45.45454545454545,50.12293143431432,53.938708390338235,37342.33327977785,36629.566720222145,66.66666666666666,37190.0,36631.0,False,False,True,False,37000.0,37000.0,37190.0,True,False,46.24878789804007,2026-04-15 16:05:00,2,STRONG,37091.0,37106.0,37077.0,37080.0,436.0,0,True,False,True
37080.0,37099.0,37067.0,37094.0,523.0,2026-04-16,False,111.5,51.6,-71.27777777777777,37079.96578516903,0.0003784851073564,False,181.5,2,37017.176049445945,36916.59704212805,36916.59704212805,,True,False,False,68.67807820950111,67.29563681635159,1.38244139314952,False,70.9090909090909,57.051651259239854,54.97635601330544,37327.795203858666,36689.704796141334,66.66666666666666,37190.0,36637.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,45.69860384474026,2026-04-15 16:10:00,2,STRONG,37080.0,37099.0,37067.0,37094.0,523.0,0,True,False,False
37096.0,37103.0,37075.0,37088.0,453.0,2026-04-16,False,39.83333333333333,52.55,-71.94444444444444,37080.20641322314,0.0002101818606403,False,111.5,2,37023.92118759395,36922.216811238606,36922.216811238606,,True,False,False,65.77102311044291,66.99071407516986,-1.2196909647269507,False,64.70588235294117,59.603061623806965,56.51859121680595,37301.43778800159,36760.362211998414,66.66666666666666,37190.0,36639.0,False,False,True,False,37000.0,37000.0,37190.0,True,False,45.24688374554253,2026-04-15 16:15:00,2,STRONG,37096.0,37103.0,37075.0,37088.0,453.0,0,True,False,True
37088.0,37114.0,37088.0,37110.0,625.0,2026-04-16,False,24.666666666666664,53.5,-52.27777777777778,37081.388698412695,0.0007715811783642,False,39.83333333333333,2,37032.11916972786,36928.373637099634,36928.373637099634,,True,False,False,64.49887426519126,66.49234611317415,-1.9934718479828888,False,93.22033898305084,70.80882074355493,61.28200105905562,37256.33935887443,36851.96064112557,66.66666666666666,37190.0,36643.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,44.993652166861615,2026-04-15 16:20:00,2,STRONG,37088.0,37114.0,37088.0,37110.0,625.0,0,True,False,False
37111.0,37162.0,37109.0,37158.0,2294.0,2026-04-16,True,22.5,56.05,-29.666666666666668,37091.12857459543,0.0018028954085363,False,24.666666666666664,2,37044.10782022997,36935.90237030948,36935.90237030948,,True,False,False,66.59620637485932,66.51311816551119,0.0830882093481335,True,96.26168224299066,79.29310791003351,67.28570334271492,37151.47940319262,37008.120596807385,66.66666666666666,37190.0,36977.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,45.39486708537966,2026-04-15 16:25:00,2,STRONG,37111.0,37162.0,37109.0,37158.0,2294.0,0,True,False,False
37159.0,37184.0,37153.0,37175.0,1197.0,2026-04-16,True,33.33333333333333,40.6,-2.1666666666666665,37096.346291772774,0.0021202548522863,False,22.5,3,37056.57374211283,36943.74163685671,36943.74163685671,,True,False,False,68.83660952204082,66.97781643681712,1.8587930852236951,True,92.3076923076923,83.63130270925312,72.73423646489432,37158.393681636226,37020.20631836378,100.0,37190.0,36977.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,46.014859885559105,2026-04-15 16:30:00,2,STRONG,37159.0,37184.0,37153.0,37175.0,1197.0,0,True,False,False
37176.0,37177.0,37153.0,37164.0,841.0,2026-04-16,True,48.33333333333333,40.7,7.888888888888888,37099.17951399263,0.0017472215519731,False,33.33333333333333,3,37066.80481429256,36950.96322253354,36950.96322253354,,True,False,False,68.92995546900784,67.36824424325526,1.5617112257525747,False,82.90598290598291,83.38952944149639,76.28600079042835,37160.36292190176,37034.737078098246,100.0,37190.0,37000.0,False,False,False,False,37000.0,37000.0,37190.0,True,False,46.590567485725735,2026-04-15 16:35:00,2,STRONG,37176.0,37177.0,37153.0,37164.0,841.0,0,True,False,False
