timestamp,Open,High,Low,Close,Volume,Amount,vwap,score,momentum,sqz_on,mom_state,regime,bull_align,bear_align,bullish_align,bearish_align,in_pb_zone,fired,atr,mom_velo,trading_day,price_vs_vwap,mom_prev,ema_fast,ema_slow,ema_filter,ema_macro,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,adx,session,open,high,low,close,volume,amount
2026-04-08 14:55:00,35015.0,35029.0,34978.0,35000.0,1804.0,0.0,35000.0,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-08,0.0,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,35015.0,34978.0,35029.0,False,True,,1,,,,,,
2026-04-08 15:00:00,34996.0,35016.0,580.0,35005.0,1921.0,0.0,35005.0,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,0.0,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,34996.0,580.0,35016.0,False,False,,2,,,,,,
2026-04-08 15:05:00,35003.0,35024.0,600.0,35010.0,982.0,0.0,35006.69135377196,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,9.451467991088046e-05,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,34996.0,580.0,35024.0,False,False,,2,,,,,,
2026-04-08 15:10:00,35004.0,35048.0,595.0,35014.0,1147.0,0.0,35008.7612345679,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,0.0001496415539241,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,34996.0,580.0,35048.0,False,False,,2,,,,,,
2026-04-08 15:15:00,35011.0,35090.0,590.0,35090.0,1473.0,0.0,35030.4278471845,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,False,False,,0.0,2026-04-09,0.0017005830780992,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,34996.0,580.0,35090.0,False,False,,2,,,,,,
2026-04-08 15:20:00,35090.0,35154.0,530.0,35146.0,2428.0,0.0,35065.72016098604,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,False,False,,0.0,2026-04-09,0.0022894108161872,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,34996.0,530.0,35154.0,False,False,,2,,,,,,
2026-04-08 15:25:00,35146.0,35177.0,515.0,35146.0,1550.0,0.0,35078.81707188717,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,False,False,,0.0,2026-04-09,0.0019151993630558,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,34996.0,515.0,35177.0,False,False,,2,,,,,,
2026-04-08 15:30:00,35146.0,35146.0,555.0,35044.0,2165.0,0.0,35072.35564889422,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,-0.0008084900021568,0.0,,,,,False,,,,False,,,,,,,,False,False,False,False,34996.0,515.0,35177.0,False,False,,2,,,,,,
2026-04-08 15:35:00,35042.0,35073.0,595.0,35001.0,1461.0,0.0,35064.413955968615,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,-0.0018084989541888,0.0,,,,,False,,,,False,99.49223933991114,99.49223933991114,99.49223933991114,,,,,False,False,False,False,34996.0,515.0,35177.0,False,False,,2,,,,,,
2026-04-08 15:40:00,35003.0,35023.0,585.0,34980.0,1426.0,0.0,35056.14251357108,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,-0.0021720163175855,0.0,,,,,False,,,,False,99.43165426115054,99.47204431365762,99.48550766449333,,,,,False,False,False,False,34996.0,515.0,35177.0,False,False,,2,,,,,,
2026-04-08 15:45:00,34978.0,35019.0,595.0,34992.0,931.0,0.0,35052.285843451304,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,-0.0017198833685354,0.0,,,,,False,,,,False,99.4662743061566,99.47012097782395,99.48037876893686,,,,,False,False,False,False,34996.0,515.0,35177.0,False,False,,2,,,,,,
2026-04-08 15:50:00,34994.0,35009.0,34986.0,34995.0,442.0,0.0,35050.69596885596,-70.0,0.0,False,0.0,NORMAL,True,False,False,False,True,False,,0.0,2026-04-09,-0.0015890117818329,0.0,35022.8892723738,,,,False,,,,False,99.47492931740813,99.47172375768534,99.47749376518637,,,,,False,False,False,False,34996.0,515.0,35177.0,False,False,,2,,,,,,
