timestamp,trading_day,session,score,side,price_mtx,strike,dte,mid_trend,iv,delta,gamma,vega,vwap,squeeze_on,sqz_on,fired,bullish_align,bearish_align,bull_align,bear_align,bullish_sign,bearlish_sign,bearish_sign,Open,High,Low,Close,Volume,open,high,low,close,volume,completed_bar_timestamp,bar_source,bar_freshness_minutes,Trading_day,momentum,mom_prev,price_vs_vwap,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,breakout_strength,trend_strength_raw,bar_quality,bar_quality_issues,bar_reference_price,bar_max_reference_deviation,ema_200_up
2026-04-27 15:21:57,2026-04-28,2.0,-33.33333333333334,,39831.5,39800.0,22.36,BULL,0.3426,0.5262,0.000119,38.928,39850.53746898263,False,False,False,False,True,False,True,False,True,True,39800.0,39834.0,39798.0,39822.0,338.0,39800.0,39834.0,39798.0,39822.0,338.0,2026-04-27 15:20:00,api-1m,1.6632315833333335,2026-04-28,-300.5,-291.5,-0.0007161125243251,0.0,39974.31083881994,40047.07600138927,40047.07600138927,39731.299815535625,40384.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,0.0,-0.0400914782146056,PASS,,39831.5,33.5,
2026-04-27 15:22:59,2026-04-28,2.0,-33.33333333333334,,39823.0,39800.0,22.36,BULL,0.3425,0.5252,0.000119,38.926,39849.71428571428,False,False,False,False,True,False,True,False,True,True,39800.0,39840.0,39798.0,39819.0,467.0,39800.0,39840.0,39798.0,39819.0,467.0,2026-04-27 15:20:00,api-1m,2.8214333000000003,2026-04-28,-301.0,-291.5,-0.0007707529718799,0.0,39974.02512453422,40046.97764073354,40046.97764073354,39731.26996478935,40384.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,0.0,-0.0408059364069891,PASS,,39823.0,25.0,
2026-04-27 15:23:59,2026-04-28,2.0,-93.33333333333334,P,39845.5,39800.0,22.36,BEAR,0.3545,-0.4719,0.000115,38.9292,38356.515941861806,False,False,False,False,True,False,True,False,True,True,37675.0,37704.0,37577.0,37600.0,1232.0,37675.0,37704.0,37577.0,37600.0,1232.0,2026-04-23 11:05:00,api-1m,6018.9857557000005,2026-04-23,-823.3333333333333,-916.3333333333331,-0.0197232705652536,1.0,38017.43497342681,38327.096830917086,38327.096830917086,38445.74,39033.0,37585.0,False,False,False,False,38465.0,37555.0,39087.0,False,False,0.0,-0.1154464938402964,BLOCK,price_drift>250,39845.5,2268.5,
2026-04-27 15:24:54,2026-04-28,2.0,-26.666666666666668,,39851.0,39900.0,22.36,BULL,0.3422,0.5166,0.000119,38.9974,39851.564942084944,False,False,False,False,True,False,True,False,True,True,39844.0,39857.0,39840.0,39850.0,123.0,39844.0,39857.0,39840.0,39850.0,123.0,2026-04-27 15:25:00,api-1m,0.0,2026-04-28,-278.8333333333333,-296.5,-3.926927555337745e-05,1.0,39964.53973852416,40041.37557887664,40041.37557887664,39732.7173416898,40384.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,0.0,-0.0301596824669002,PASS,,39851.0,11.0,
2026-04-27 15:26:18,2026-04-28,2.0,-26.666666666666668,,39844.5,39800.0,22.36,BULL,0.3421,0.5278,0.000119,38.9305,39851.25713851762,False,False,False,False,True,False,True,False,True,True,39844.0,39857.0,39838.0,39842.0,232.0,39844.0,39857.0,39838.0,39842.0,232.0,2026-04-27 15:25:00,api-1m,1.1662191166666669,2026-04-28,-280.16666666666663,-296.5,-0.0002322922583205,1.0,39963.77783376225,40041.11328379467,40041.11328379467,39732.63773969975,40384.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,0.0,-0.0320655594739539,PASS,,39844.5,12.5,
2026-04-27 15:27:46,2026-04-28,2.0,-26.666666666666668,,39807.5,39800.0,22.36,BULL,0.3407,0.5233,0.00012,38.9222,39849.42575285566,False,False,False,False,True,False,True,False,True,True,39844.0,39857.0,39814.0,39814.0,389.0,39844.0,39857.0,39814.0,39814.0,389.0,2026-04-27 15:25:00,api-1m,2.6102301666666667,2026-04-28,-284.8333333333333,-296.5,-0.0008889902975107,1.0,39961.11116709559,40040.19525100779,40040.19525100779,39732.35913273457,40384.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,0.0,-0.0387361289986051,PASS,,39807.5,49.5,
2026-04-27 15:28:54,2026-04-28,2.0,-26.666666666666668,,39807.0,39800.0,22.35,BULL,0.3408,0.5233,0.00012,38.922,39846.68633802817,False,False,False,False,True,False,True,False,True,True,39844.0,39857.0,39788.0,39805.0,748.0,39844.0,39857.0,39788.0,39805.0,748.0,2026-04-27 15:25:00,api-1m,3.7503704833333336,2026-04-28,-286.3333333333333,-296.5,-0.0010461682478321,1.0,39960.25402423844,40039.90016904057,40039.90016904057,39732.26958049577,40384.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,0.0,-0.0408802406315359,PASS,,39807.0,50.0,
2026-04-27 15:30:13,2026-04-28,2.0,-26.666666666666668,,39819.0,39800.0,22.35,BULL,0.3417,0.5247,0.000119,38.9252,39846.01557117266,False,False,False,False,True,False,True,False,True,True,39806.0,39823.0,39803.0,39806.0,133.0,39806.0,39823.0,39803.0,39806.0,133.0,2026-04-27 15:30:00,api-1m,0.0444665166666666,2026-04-28,-274.5,-286.0,-0.0010042552711747,1.0,39945.73550038807,40032.294734850046,40032.294734850046,39733.022918993345,40368.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,-0.1004255271174767,-0.0368088999627917,PASS,,39819.0,16.0,
2026-04-27 15:31:18,2026-04-28,2.0,-26.666666666666668,,39808.5,39800.0,22.35,BULL,0.3419,0.5235,0.000119,38.9223,39845.11626344086,False,False,False,False,True,False,True,False,True,True,39806.0,39827.0,39798.0,39808.0,316.0,39806.0,39827.0,39798.0,39808.0,316.0,2026-04-27 15:30:00,api-1m,1.1043336666666663,2026-04-28,-274.16666666666663,-286.0,-0.0009315134932839,1.0,39945.92597657855,40032.36030862054,40032.36030862054,39733.04281949086,40368.0,39800.0,False,False,False,False,39863.0,39786.0,39898.0,False,True,-0.0931513493283903,-0.0363322381216768,PASS,,39808.5,18.5,
2026-04-27 15:32:12,2026-04-28,2.0,-26.666666666666668,P,39801.0,39800.0,22.35,BEAR,0.3542,-0.477,0.000115,38.9178,39841.9708198838,False,False,False,False,True,False,True,False,True,True,39806.0,39827.0,39772.0,39787.0,621.0,39806.0,39827.0,39772.0,39787.0,621.0,2026-04-27 15:30:00,api-1m,2.03389135,2026-04-28,-277.66666666666663,-286.0,-0.0013797214031481,1.0,39943.92597657855,40031.671784030375,40031.671784030375,39732.83386426698,40368.0,39787.0,False,True,False,False,39863.0,39772.0,39898.0,False,True,0.0,-0.0413371874534555,PASS,,39801.0,29.0,
2026-04-27 15:33:35,2026-04-28,2.0,-26.666666666666668,,39833.5,39800.0,22.35,BULL,0.3436,0.5265,0.000118,38.9282,39846.02890752096,False,False,False,False,True,False,True,False,True,True,39806.0,39842.0,39772.0,39840.0,867.0,39806.0,39842.0,39772.0,39840.0,867.0,2026-04-27 15:30:00,api-1m,3.4040800833333336,2026-04-28,-268.8333333333333,-286.0,-0.0001513051033253,1.0,39948.973595626165,40033.4094889484,40033.4094889484,39733.36122745106,40368.0,39800.0,False,False,False,False,39863.0,39772.0,39898.0,False,True,-0.0151305103325377,-0.0287056486637301,PASS,,39833.5,61.5,
