timestamp,trading_day,session,score,side,price_mtx,strike,dte,mid_trend,iv,delta,gamma,vega,vwap,squeeze_on,sqz_on,fired,bullish_align,bearish_align,bull_align,bear_align,bullish_sign,bearlish_sign,bearish_sign,Open,High,Low,Close,Volume,open,high,low,close,volume,completed_bar_timestamp,bar_source,bar_freshness_minutes,Trading_day,momentum,mom_prev,price_vs_vwap,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,bar_quality,bar_quality_issues,bar_reference_price,bar_max_reference_deviation
2026-04-27 08:59:02,2026-04-27,1,20.000000000000004,,39943.5,39900.0,22.63,BULL,0.3632,0.528,0.000112,39.0254,39975.9218887354,False,False,False,True,False,True,False,True,False,False,39991.0,39999.0,39900.0,39910.0,3254.0,39991.0,39999.0,39900.0,39910.0,3254.0,2026-04-27 08:55:00,api-1m,3.7999462833333335,2026-04-27,123.66666666666666,98.16666666666666,-0.0016490398625172,3.0,39809.38203961188,39756.68174077333,39756.68174077333,39377.65972030414,39994.0,39717.0,False,False,False,False,39978.0,39900.0,40058.0,False,False,PASS,,39943.5,55.5
2026-04-27 09:00:05,2026-04-27,1,-93.33333333333334,P,40017.5,39900.0,22.62,BEAR,0.3443,-0.4636,0.000117,39.0314,38356.515941861806,False,False,False,False,True,False,True,False,True,True,37675.0,37704.0,37577.0,37600.0,1232.0,37675.0,37704.0,37577.0,37600.0,1232.0,2026-04-23 11:05:00,api-1m,5635.041829166667,2026-04-23,-823.3333333333333,-916.3333333333331,-0.0197232705652536,1.0,38017.43497342681,38327.096830917086,38327.096830917086,38445.74,39033.0,37585.0,False,False,False,False,38465.0,37555.0,39087.0,False,False,BLOCK,price_drift>250,40017.5,2440.5
2026-04-27 09:01:12,2026-04-27,1,-93.33333333333334,P,40031.5,39900.0,22.62,BEAR,0.3716,-0.4622,0.000109,39.0321,38356.515941861806,False,False,False,False,True,False,True,False,True,True,37675.0,37704.0,37577.0,37600.0,1232.0,37675.0,37704.0,37577.0,37600.0,1232.0,2026-04-23 11:05:00,api-1m,5636.177584633333,2026-04-23,-823.3333333333333,-916.3333333333331,-0.0197232705652536,1.0,38017.43497342681,38327.096830917086,38327.096830917086,38445.74,39033.0,37585.0,False,False,False,False,38465.0,37555.0,39087.0,False,False,BLOCK,price_drift>250,40031.5,2454.5
2026-04-27 09:02:13,2026-04-27,1,-93.33333333333334,P,40055.5,39900.0,22.62,BEAR,0.3513,-0.4593,0.000115,39.0274,38356.515941861806,False,False,False,False,True,False,True,False,True,True,37675.0,37704.0,37577.0,37600.0,1232.0,37675.0,37704.0,37577.0,37600.0,1232.0,2026-04-23 11:05:00,api-1m,5637.201422733333,2026-04-23,-823.3333333333333,-916.3333333333331,-0.0197232705652536,1.0,38017.43497342681,38327.096830917086,38327.096830917086,38445.74,39033.0,37585.0,False,False,False,False,38465.0,37555.0,39087.0,False,False,BLOCK,price_drift>250,40055.5,2478.5
2026-04-27 09:03:16,2026-04-27,1,-93.33333333333334,P,40077.0,39900.0,22.62,BEAR,0.3513,-0.4568,0.000115,39.0227,38356.515941861806,False,False,False,False,True,False,True,False,True,True,37675.0,37704.0,37577.0,37600.0,1232.0,37675.0,37704.0,37577.0,37600.0,1232.0,2026-04-23 11:05:00,api-1m,5638.22583755,2026-04-23,-823.3333333333333,-916.3333333333331,-0.0197232705652536,1.0,38017.43497342681,38327.096830917086,38327.096830917086,38445.74,39033.0,37585.0,False,False,False,False,38465.0,37555.0,39087.0,False,False,BLOCK,price_drift>250,40077.0,2500.0
2026-04-27 09:04:20,2026-04-27,1,20.000000000000004,C,40188.0,39900.0,22.62,BULL,0.3433,0.5564,0.000117,38.9679,40061.78959691654,False,False,False,True,False,True,False,True,False,False,40165.0,40208.0,40165.0,40186.0,548.0,40165.0,40208.0,40165.0,40186.0,548.0,2026-04-27 09:05:00,api-1m,0.0,2026-04-27,265.83333333333337,193.0,0.0031004706562839,3.0,39879.434320515895,39785.090705907314,39785.090705907314,39393.898473196336,40186.0,39717.0,True,False,False,False,39978.0,39900.0,40208.0,False,False,PASS,,40188.0,23.0
2026-04-27 09:05:21,2026-04-27,1,-80.00000000000001,,40299.0,39900.0,22.62,BULL,0.3375,0.5699,0.000118,38.8632,40230.0,False,False,False,False,True,False,True,False,True,True,40004.0,40232.0,39906.0,40230.0,11585.0,40004.0,40232.0,39906.0,40230.0,11585.0,2026-04-27 09:00:00,api-1m,5.341780383333333,2026-04-27,-245.83333333333331,-823.3333333333333,0.0,1.0,38228.155452148065,38389.48709875587,38389.48709875587,38463.40594059406,40230.0,37585.0,True,False,False,False,40004.0,39906.0,40232.0,False,False,BLOCK,price_drift>250,40299.0,393.0
2026-04-27 09:06:23,2026-04-27,1,-80.00000000000001,,40273.0,39900.0,22.62,BULL,0.3375,0.5668,0.000118,38.8901,40230.0,False,False,False,False,True,False,True,False,True,True,40004.0,40232.0,39906.0,40230.0,11585.0,40004.0,40232.0,39906.0,40230.0,11585.0,2026-04-27 09:00:00,api-1m,6.366474966666667,2026-04-27,-245.83333333333331,-823.3333333333333,0.0,1.0,38228.155452148065,38389.48709875587,38389.48709875587,38463.40594059406,40230.0,37585.0,True,False,False,False,40004.0,39906.0,40232.0,False,False,BLOCK,price_drift>250,40273.0,367.0
2026-04-27 09:07:24,2026-04-27,1,-80.00000000000001,,40157.5,39900.0,22.62,BULL,0.3489,0.5525,0.000115,38.9904,40230.0,False,False,False,False,True,False,True,False,True,True,40004.0,40232.0,39906.0,40230.0,11585.0,40004.0,40232.0,39906.0,40230.0,11585.0,2026-04-27 09:00:00,api-1m,7.39078195,2026-04-27,-245.83333333333331,-823.3333333333333,0.0,1.0,38228.155452148065,38389.48709875587,38389.48709875587,38463.40594059406,40230.0,37585.0,True,False,False,False,40004.0,39906.0,40232.0,False,False,BLOCK,price_drift>250,40157.5,251.5
2026-04-27 09:08:26,2026-04-27,1,-80.00000000000001,,40114.0,39900.0,22.62,BULL,0.3423,0.5478,0.000118,39.007,40230.0,False,False,False,False,True,False,True,False,True,True,40004.0,40232.0,39906.0,40230.0,11585.0,40004.0,40232.0,39906.0,40230.0,11585.0,2026-04-27 09:00:00,api-1m,8.417839783333333,2026-04-27,-245.83333333333331,-823.3333333333333,0.0,1.0,38228.155452148065,38389.48709875587,38389.48709875587,38463.40594059406,40230.0,37585.0,True,False,False,False,40004.0,39906.0,40232.0,False,False,PASS,,40108.0,202.0
