ts,dir,k_vel,lr_curve,atr_n,gap_p,hour,label
2023-04-12 00:06:00,-1,-3.674528936969347e-05,0.0,,0.0,0,0
2023-04-13 00:20:00,-1,-2.0336307810482903e-05,-0.0736842105263158,0.0001838746423413969,0.0,0,0
2023-04-14 00:08:00,1,2.9820303403943417e-05,0.12330827067669176,0.00016643725315556036,0.0,0,0
2023-04-15 00:07:00,-1,-4.3927467166224e-05,-0.031578947368421054,0.0002965146055906481,6.287726358148894e-05,0,0
2023-04-17 08:52:00,-1,-0.00010772724718536531,-0.21203007518797,0.0002874750705212282,-0.00018844221105527637,8,1
2023-04-18 00:16:00,-1,-2.264977950691526e-05,-0.018796992481203006,0.0001480431388734366,0.0,0,0
2023-04-19 00:07:00,1,2.3080024218835988e-05,0.06541353383458645,0.00015270192584075884,0.0,0,1
2023-04-20 00:17:00,1,2.8438686132731436e-05,0.08721804511278196,0.00016313065859472,0.0,0,1
2023-04-21 00:06:00,-1,-3.26723329833198e-05,-0.08421052631578951,0.0001541167298243069,-6.343970056461333e-05,0,0
2023-04-22 00:06:00,1,6.554080027172358e-05,0.24360902255639094,0.0002422547056833868,0.0,0,0
2023-04-24 09:04:00,1,3.678285103523041e-05,0.6796992481203008,0.0005963849894485734,-0.00276616275329688,9,1
2023-04-25 00:26:00,1,3.929831236006759e-05,0.15789473684210525,0.00017818308083115554,0.0,0,1
2023-04-26 00:08:00,-1,-5.561365411067718e-05,-0.047368421052631615,0.00019543973941368078,-0.00013019985678015754,0,0
2023-04-27 00:20:00,-1,-4.03556096247239e-05,-0.1781954887218045,0.00017664230862200406,0.0,0,1
2023-04-28 00:08:00,1,4.33960927570454e-05,-0.006015037593984918,0.00014286636004166167,0.0,0,1
2023-04-29 00:08:00,1,3.626434516143851e-05,-0.019548872180451093,0.00018756061410089844,0.0,0,0
2023-05-02 08:55:00,-1,-5.735635409664749e-05,-0.1766917293233083,0.000434591666819155,0.0002559508574353724,8,1
2023-05-03 00:28:00,1,3.111479482618619e-05,0.1255639097744361,0.00016093729882837645,0.0,0,1
2023-05-04 00:08:00,1,3.731187692190242e-05,0.015037593984962405,0.0001606580553948975,0.0,0,0
2023-05-05 00:07:00,-1,-5.202677205948195e-05,0.018796992481203034,0.00019309989701338825,0.0,0,1
2023-05-06 00:06:00,-1,-5.4737341426714064e-05,-0.11804511278195484,0.00020914794944075656,0.0,0,0
2023-05-08 09:02:00,-1,-0.00010113688052606863,-0.13308270676691725,0.0005130580073371835,0.000317299149638279,9,1
2023-05-09 00:06:00,-1,-1.4625094323792674e-05,-0.1323308270676692,0.00014087579299438315,0.0,0,1
2023-05-10 00:15:00,1,1.5384999288671722e-05,0.04210526315789476,0.00012297209899709421,0.0,0,1
2023-05-11 00:14:00,1,1.838929743577286e-05,0.11127819548872181,0.00019645826860870998,0.0,0,0
2023-05-12 00:25:00,1,5.99508559685439e-05,0.07593984962406017,0.00018495228231116373,0.0,0,0
2023-05-13 00:07:00,-1,-2.254767912036354e-05,-0.12481203007518799,0.0001847848180793466,6.463288521199587e-05,0,1
2023-05-15 09:01:00,1,7.071905237913633e-05,0.37518796992481207,0.0004945872738534358,-0.0007124813783276119,9,1
2023-05-16 00:19:00,1,6.723314993870949e-05,0.2368421052631579,0.0001513025776457319,-6.421370320426378e-05,0,0
2023-05-17 00:13:00,1,1.797124477728042e-05,0.09323308270676692,0.00010909289259804722,-6.364562118126272e-05,0,0
2023-05-18 00:23:00,1,3.389352255749223e-05,0.07593984962406014,0.00015679879578524837,-6.2758880381574e-05,0,1
2023-05-19 00:06:00,-1,-0.0001068490592874983,-0.18721804511278206,0.00041680338408875254,-6.20462865297512e-05,0,1
2023-05-20 00:16:00,-1,-5.300931390080432e-05,-0.024812030075187952,0.000226531754421811,0.0,0,0
2023-05-22 09:03:00,1,0.00012581616854788266,0.02706766917293235,0.0004557481792196529,0.001859542552532077,9,1
2023-05-23 00:13:00,1,1.7169108489287244e-05,0.015789473684210534,0.000128428828286228,6.201550387596899e-05,0,0
2023-05-24 00:12:00,-1,-4.317553514095975e-05,-0.09548872180451129,0.00015989482473750602,-6.213881811967936e-05,0,1
2023-05-25 00:09:00,1,5.067755452740408e-05,0.08947368421052629,0.00016981266981266983,0.0,0,0
2023-05-26 00:12:00,1,3.6073757693272665e-05,0.0518796992481203,0.00021866335464572163,-6.125199068969742e-05,0,1
2023-05-27 00:09:00,1,1.2743621586169344e-05,0.10977443609022558,0.00019785116431109083,0.0,0,0
2023-05-29 09:02:00,-1,-0.00011903532496052423,-0.4631578947368421,0.0005423320277191926,0.0,9,0
2023-05-30 00:13:00,-1,-1.8929031741502792e-05,0.008270676691729317,6.46880741066577e-05,-6.036460219727152e-05,0,0
2023-05-31 00:06:00,-1,-9.977131620794586e-05,-0.26766917293233083,0.00037069924222178164,0.0,0,0
2023-06-01 00:09:00,-1,-6.960831210275705e-05,-0.20225563909774436,0.0002831010452961673,0.0,0,0
2023-06-02 00:12:00,-1,-1.2714517149335466e-05,-0.1,0.00023708940425898784,6.034274680183442e-05,0,1
2023-06-03 00:06:00,1,4.4631820701806516e-05,0.1827067669172932,0.0002003666282985889,0.0,0,0
2023-06-05 08:54:00,-1,-0.00016218543889592697,-0.24586466165413556,0.00040601413783966287,-0.0007164179104477612,8,1
2023-06-06 00:08:00,1,7.915026464681721e-05,0.21578947368421053,0.00022226591552185473,5.9901761111776687e-05,0,1
2023-06-07 00:17:00,-1,-1.2480502889212873e-05,-0.08496240601503757,0.00020840776467786115,0.0,0,1
2023-06-08 00:08:00,1,8.336503486553642e-06,0.13909774436090228,0.00027493676454415486,-5.9248726152387724e-05,0,0
2023-06-09 00:19:00,1,3.0770462692330215e-05,0.1556390977443609,0.00023788284269997027,0.0,0,1
2023-06-10 00:28:00,-1,-9.182936384341098e-05,-0.2631578947368421,0.00031738508544006496,0.00011832219132698337,0,1
2023-06-12 08:56:00,-1,-3.330914125053953e-05,0.0,,0.00141559513979002,8,0
2023-06-13 00:13:00,-1,-2.3257398022157172e-05,-0.05037593984962406,0.00014682562988195218,0.0,0,0
2023-06-14 00:10:00,1,2.8230764184715936e-05,0.17669172932330834,0.00036853002070393374,-5.797773654916512e-05,0,0
2023-06-15 00:06:00,-1,-4.550610112977444e-05,-0.03984962406015036,0.0002278489402952922,-5.797773654916512e-05,0,0
2023-06-16 00:14:00,-1,-1.855598502644182e-05,-0.06390977443609022,0.00018558231606730452,5.7713395279044266e-05,0,1
2023-06-17 00:11:00,1,3.0402469748683495e-05,-0.06917293233082711,0.00016562186871154467,0.0,0,1
2023-06-19 09:03:00,1,7.381727339940189e-05,0.7135338345864661,0.0006601838549754611,-0.0015121554030475748,9,1
2023-06-20 00:07:00,-1,-9.532138620060695e-06,-0.0030075187969924796,7.046281635732108e-05,5.801810164771409e-05,0,1
2023-06-21 00:12:00,1,9.818296400797127e-06,0.12556390977443604,0.0001832783498283848,-5.832944470368642e-05,0,1
2023-06-22 00:06:00,1,3.375748624953224e-05,0.12781954887218047,0.00022766750425822554,-5.904581955597544e-05,0,1
2023-06-26 09:07:00,-1,-0.0002806459532195368,-0.6263157894736844,0.0008187749768791522,-0.004035368820841493,9,0
2023-06-27 00:06:00,-1,-7.069320489708069e-05,-0.32857142857142857,0.00025440545445294346,-5.929791271347249e-05,0,0
2023-06-28 00:25:00,1,3.617702728810877e-05,0.10225563909774435,0.00016581632653061223,0.0,0,1
2023-06-29 00:09:00,1,5.407038812462618e-05,0.23082706766917294,0.00022538038255130591,0.0,0,1
2023-06-30 00:14:00,-1,-4.293860104094277e-05,-0.15789473684210525,0.00029434850863422295,0.0,0,0
2023-07-01 00:10:00,-1,-2.306811294391775e-05,-0.06466165413533836,0.00019047619047619048,-5.9252236771938144e-05,0,0
2023-07-03 09:06:00,1,0.00017720730689990273,0.2819548872180451,0.0006578226071702664,0.002130051476244009,9,1
2023-07-04 00:09:00,1,4.112867687195162e-05,0.0518796992481203,0.00015528862699671795,0.0,0,1
2023-07-05 00:32:00,1,1.1436420827953563e-05,0.0330827067669173,6.263100318165496e-05,0.0,0,0
2023-07-06 00:37:00,-1,-6.265538115565295e-05,-0.11278195488721804,0.00019856526037397866,0.0,0,0
2023-07-07 00:06:00,1,4.952824420275337e-05,0.028571428571428567,0.0002975831076302034,6.042296072507553e-05,0,0
2023-07-08 00:11:00,1,5.746757424526984e-05,0.1037593984962406,0.00019242610837438425,5.989458552946814e-05,0,1
2023-07-10 09:06:00,1,0.00019430662469142464,0.6887218045112783,0.0006371060845769017,0.000239880059970015,9,1
2023-07-11 00:08:00,-1,-8.668840320223121e-05,-0.26090225563909775,0.0003176892827091168,0.0,0,1
2023-07-12 00:09:00,-1,-4.361804087315559e-05,0.0,,0.0,0,0
2023-07-13 00:12:00,1,6.84662601932913e-05,0.15714285714285714,0.0004105331065626649,0.0,0,1
2023-07-14 00:19:00,1,5.668936752656611e-05,-0.05939849624060156,0.00023230152738254253,0.0,0,1
